Job_Title,Job_Company,Job_Salary,Job_Desc
(Researcher)Data Analyst-(Top Listed IT MNC/ Perm/Gd Env/East/Up to $5.5K Basic)Achieve Career Consultant Pte Ltd(Recruitment Firm),Achieve Career Consultant Pte Ltd(Recruitment Firm),"SGD 4,500 - SGD 5,500Min 2 years (Junior Executive) Singapore - Across Singapore","S$4,000 to $5,500 Basic2 Years Contract (Subjected to conversion to Perm)Good career opportunity + Friendly working environmentTampines/ Monday to Friday (9am to 5:45pm)Experience with image & video analysis, or AI technology or Machine LearningOur Client is a well-known and established Leader in Global IT Industry. They are looking for unique individual to join their growing business as a (Researcher) Data AnalystRESPONSIBILITIES:Research and development IT system related image/video processing and AIConduct and manage development teamTechnical presentation at internal/external conferenceCreate technical reportREQUIREMENTS:Minimum Masters Degree with 2 years of relevant work experience in image analysis or AI technology as researchMust have research experience in image & video analysis, or AI technology or Machine LearningKnowledge in professional programming skill in either Java, C++, Python or JavascriptAbility to create technical report and to conduct presentation materials for customersCandidates with journal/conference publications have added advantageGood communication & presentation skillsOTHER INFORMATION: Location : Tampines Working days : Monday to Friday (9am to 5:45pm) Salary : $4,000 to $5,500 (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff.HOW TO APPLY:If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you.Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185)Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 for a confidential discussion.Please indicate the below informationin your resume: Current & Expected Salary Reason(s) for leaving Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or rsum to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.YOUR SUCCESS IS OUR ACHIEVEMENT!"
(Researcher)Data Analyst-(Top Listed IT MNC/ Perm/Gd Env/East/Up to $5.5K Basic)Achieve Career Consultant Pte Ltd(Recruitment Firm),Achieve Career Consultant Pte Ltd(Recruitment Firm),"SGD 4,500 - SGD 5,500Min 2 years (Junior Executive) Singapore - Across Singapore","S$4,000 to $5,500 Basic2 Years Contract (Subjected to conversion to Perm)Good career opportunity + Friendly working environmentTampines/ Monday to Friday (9am to 5:45pm)Experience with image & video analysis, or AI technology or Machine LearningOur Client is a well-known and established Leader in Global IT Industry. They are looking for unique individual to join their growing business as a (Researcher)Data AnalystRESPONSIBILITIES:Research and development IT system related image/video processing and AIConduct and manage development teamTechnical presentation at internal/external conferenceCreate technical reportREQUIREMENTS:Minimum Masters Degree with 2 years of relevant work experience in image analysis or AI technology as researchMust have research experience in image & video analysis, or AI technology or Machine LearningKnowledge in professional programming skill in either Java, C++, Python or JavascriptAbility to create technical report and to conduct presentation materials for customersCandidates with journal/conference publications have added advantageGood communication & presentation skillsOTHER INFORMATION: Location : Tampines Working days : Monday to Friday (9am to 5:45pm) Salary : $4,000 to $5,500 (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff.HOW TO APPLY:If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you.Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185)Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 for a confidential discussion.Please indicate the below informationin your resume: Current & Expected Salary Reason(s) for leaving Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or rsum to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.YOUR SUCCESS IS OUR ACHIEVEMENT!"
Data Analyst(Researcher)-(Top Listed IT MNC/ Perm/Gd Env/East/Up to $5.5K Basic)Achieve Career Consultant Pte Ltd(Recruitment Firm),Achieve Career Consultant Pte Ltd(Recruitment Firm),"SGD 4,500 - SGD 5,500Min 2 years (Junior Executive) Singapore - Across Singapore","S$4,000 to $5,500 Basic2 Years Contract (Subjected to conversion to Perm)Good career opportunity + Friendly working environmentTampines/ Monday to Friday (9am to 5:45pm)Experience with image & video analysis, or AI technology or Machine LearningOur Client is a well-known and established Leader in Global IT Industry. They are looking for unique individual to join their growing business as a Data Analyst(Researcher)RESPONSIBILITIES:Research and development IT system related image/video processing and AIConduct and manage development teamTechnical presentation at internal/external conferenceCreate technical reportREQUIREMENTS:Minimum Masters Degree with 2 years of relevant work experience in image analysis or AI technology as researchMust have research experience in image & video analysis, or AI technology or Machine LearningKnowledge in professional programming skill in either Java, C++, Python or JavascriptAbility to create technical report and to conduct presentation materials for customersCandidates with journal/conference publications have added advantageGood communication & presentation skillsOTHER INFORMATION: Location : Tampines Working days : Monday to Friday (9am to 5:45pm) Salary : $4,000 to $5,500 (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff.HOW TO APPLY:If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you.Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185)Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 for a confidential discussion.Please indicate the below informationin your resume: Current & Expected Salary Reason(s) for leaving Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or rsum to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.YOUR SUCCESS IS OUR ACHIEVEMENT!"
Data Analyst(Researcher)-(Up to $5.5K Basic/Top Listed IT MNC/ Perm/Gd Env/East)Achieve Career Consultant Pte Ltd(Recruitment Firm),Achieve Career Consultant Pte Ltd(Recruitment Firm),"SGD 4,500 - SGD 5,500Min 2 years (Junior Executive) Singapore - Across Singapore","S$4,500 to $5,500 Basic + Bonus2 Years Contract (Subjected to conversion to Perm)Good career opportunity + Friendly working environmentTampines/ Monday to Friday (9am to 5:45pm)Experience with image & video analysis, or AI technology or Machine LearningOur Client is a well-known and established Leader in Global IT Industry. They are looking for unique individual to join their growing business as a Data Analyst(Researcher)RESPONSIBILITIES:Research and development IT system related image/video processing and AIConduct and manage development teamTechnical presentation at internal/external conferenceCreate technical reportREQUIREMENTS:Minimum Masters Degree with 2 years of relevant work experience in image analysis or AI technology as researchMust have research experience in image & video analysis, or AI technology or Machine LearningKnowledge in professional programming skill in either Java, C++, Python or JavascriptAbility to create technical report and to conduct presentation materials for customersCandidates with journal/conference publications have added advantageGood communication & presentation skillsOTHER INFORMATION: Location : Tampines Working days : Monday to Friday (9am to 5:45pm) Salary : $4,500 to $5,500 (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff.HOW TO APPLY:If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you.Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185)Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 for a confidential discussion.Please indicate the below informationin your resume: Current & Expected Salary Reason(s) for leaving Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or rsum to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.YOUR SUCCESS IS OUR ACHIEVEMENT!"
Data Analyst(Researcher)-(Up to $5.5K Basic/Top Listed IT MNC/ Perm/Gd Env/East)Achieve Career Consultant Pte Ltd(Recruitment Firm),Achieve Career Consultant Pte Ltd(Recruitment Firm),"SGD 4,500 - SGD 5,500Min 2 years (Junior Executive) Singapore - Across Singapore","S$4,500 to $5,500 Basic2 Years Contract (Subjected to conversion to Perm)Good career opportunity + Friendly working environmentTampines/ Monday to Friday (9am to 5:45pm)Experience with image & video analysis, or AI technology or Machine LearningOur Client is a well-known and established Leader in Global IT Industry. They are looking for unique individual to join their growing business as a Data Analyst(Researcher)RESPONSIBILITIES:Research and development IT system related image/video processing and AIConduct and manage development teamTechnical presentation at internal/external conferenceCreate technical reportREQUIREMENTS:Minimum Masters Degree with 2 years of relevant work experience in image analysis or AI technology as researchMust have research experience in image & video analysis, or AI technology or Machine LearningKnowledge in professional programming skill in either Java, C++, Python or JavascriptAbility to create technical report and to conduct presentation materials for customersCandidates with journal/conference publications have added advantageGood communication & presentation skillsOTHER INFORMATION: Location : Tampines Working days : Monday to Friday (9am to 5:45pm) Salary : $4,500 to $5,500 (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff.HOW TO APPLY:If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you.Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185)Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 for a confidential discussion.Please indicate the below informationin your resume: Current & Expected Salary Reason(s) for leaving Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or rsum to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.YOUR SUCCESS IS OUR ACHIEVEMENT!"
"Associate / Analyst, Project Manager - Regional Cash, Institutional Banking Group Operations, Technology and Operations - (1800033G)DBS Bank Limited",DBS Bank Limited,Undisclosed Junior Executive Singapore - Across Singapore - Singapore,"Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.ResponsibilitiesBe a core member of the IBG Ops projects from inception, planning, information gathering and implementation.Establish a communication schedule to update sponsors, stakeholders, etc. on the progress of the projects.Facilitate meetings and interviews with process owners in gathering business requirements and communicating to the technology team.Support opportunities for process improvement and develop action plans and appropriate success measures.Support timely generation of Management Information, process workflows, data analysis RequirementsBachelor Degree from a recognized universityA minimum of 2 - 3yrs of experience in managing projects, preferably in a large, global financial institutionStrong influencing and negotiation skills along with excellent interpersonal and communication skills; strong verbal, written and presentation skills to key stakeholders within the organization.Ability to work independently to gather requirements, prepare project plan, communicate to stakeholdersGood insight in the latest digital technologies including Agile, data analytics, AI, API, Cloud computing, Mobile TechnologySelf-starter, with tenacity to succeed and passionate about digital automationWilling to challenge the status quo to drive better outcomesAbility to problem solve, creative and think out-of-the-boxKnowledge of Transaction Banking Cash products is preferred Apply Now  We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
Data Analyst(Researcher)-(Top Listed IT MNC/ Perm/Gd Env/East/Up to $5.5K Basic)Achieve Career Consultant Pte Ltd(Recruitment Firm),Achieve Career Consultant Pte Ltd(Recruitment Firm),"SGD 4,500 - SGD 6,500Min 2 years (Junior Executive) Singapore - Across Singapore","S$4,000 to $5,500 Basic2 Years Contract (Subjected to conversion to Perm)Good career opportunity + Friendly working environmentTampines/ Monday to Friday (9am to 5:45pm)Experience with image & video analysis, or AI technology or Machine LearningOur Client is a well-known and established Leader in Global IT Industry. They are looking for unique individual to join their growing business as a Data Analyst(Researcher)RESPONSIBILITIES:Research and development IT system related image/video processing and AIConduct and manage development teamTechnical presentation at internal/external conferenceCreate technical reportREQUIREMENTS:Minimum Masters Degree with 2 years of relevant work experience in image analysis or AI technology as researchMust have research experience in image & video analysis, or AI technology or Machine LearningKnowledge in professional programming skill in either Java, C++, Python or JavascriptAbility to create technical report and to conduct presentation materials for customersCandidates with journal/conference publications have added advantageGood communication & presentation skillsOTHER INFORMATION: Location : Tampines Working days : Monday to Friday (9am to 5:45pm) Salary : $4,000 to $5,500 (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff.HOW TO APPLY:If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you.Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185)Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 for a confidential discussion.Please indicate the below informationin your resume: Current & Expected Salary Reason(s) for leaving Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or rsum to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.YOUR SUCCESS IS OUR ACHIEVEMENT!"
Data Analyst(Researcher)-(Top Listed IT MNC/ Perm/Gd Env/East/Up to $5.5K Basic)Achieve Career Consultant Pte Ltd(Recruitment Firm),Achieve Career Consultant Pte Ltd(Recruitment Firm),"SGD 4,500 - SGD 6,500Min 2 years (Junior Executive) Singapore - Across Singapore","S$4,000 to $5,500 Basic2 Years Contract (Subjected to conversion to Perm)Good career opportunity + Friendly working environmentTampines/ Monday to Friday (9am to 5:45pm)Experience withimage & video analysis, or AI technology or Machine LearningOur Client is a well-known and established Leader in Global IT Industry. They are looking for unique individual to join their growing business as aData Analyst(Researcher)RESPONSIBILITIES:Research and development IT system related image/video processing and AIConduct and manage development teamTechnical presentation at internal/external conferenceCreate technical reportREQUIREMENTS:Minimum Masters Degree with2 years of relevant work experience in image analysis or AI technology as researchMust have research experience in image & video analysis, or AI technology or Machine LearningKnowledge in professional programming skill in either Java, C++, Python or JavascriptAbility to create technical report and to conduct presentation materials for customersCandidates with journal/conference publications have added advantageGood communication & presentation skillsOTHER INFORMATION: Location : Tampines Working days : Monday to Friday (9am to 5:45pm) Salary : $4,000 to $5,500 (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff.HOW TO APPLY:If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you.Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185)Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 for a confidential discussion.Please indicate the below informationin your resume: Current & Expected Salary Reason(s) for leaving Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or rsum to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.YOUR SUCCESS IS OUR ACHIEVEMENT!"
(Python/SAS) Data Analyst (Listed IT MNC/ Up to S$6K+Gd Career Adv/West/ 5 Days)Achieve Career Consultant Pte Ltd(Recruitment Firm),Achieve Career Consultant Pte Ltd(Recruitment Firm),"SGD 5,000 - SGD 7,000Min 2 years (Senior Executive) Singapore - Across Singapore","S$5,000 to $7,000 + Good Benefits + Good Bonus !!! Knowledge with R, Python, SAS, SQL, AI and Machine Learning Global IT MNC - Great Career Progression with Great Company culture !!! Monday to Friday - Perm PositionOur Client is a well-known and established Leader in Global IT Industry. They are looking for unique individual to join their growing business as a Data AnalystRESPONSIBILITIES:Model and frame business scenarios that are meaningful and impactful on critical business processes and/or decisionsIdentify what data is available and relevant for problem solvingDesign and develop innovative and effective approaches to solve clients' analytics problemsCollaborate and communicate with management, internal, and external partners regarding analysis results, methodologies, project progress, and issue resolutionREQUIREMENTS:Master Degree in Computer Science/Statistics/Mathematics/Physics or a related quantitative disciplineMinimum 2 years experience in data analysis/machine learning/deep learningDeep understanding of machine learning/data mining algorithms and techniquesSolid knowledge of big data processing framework and tools, such as Spark, Hadoop, MapReduce, etc.Proficiency in one or more programming languages including but not limited to: Python, Java, Scala, RStrong analytical and problem solving skillsExcellent written and verbal communication skillsOTHER INFORMATION: Location : Bouna Vista Working days : Monday to Friday Salary : $5,000 to $7,000 (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff.HOW TO APPLY:If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you.Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185)Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 for a confidential discussion.Please indicate the below information in your resume: Current & Expected Salary Reason(s) for leaving Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or rsum to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration.YOUR SUCCESS IS OUR ACHIEVEMENT!"
"Senior AI Engineer/Scientist (100 Experiments) for AI Singapore (a national R&D programme in Artificial Intelligence) - (00694)National University of Singapore, Office of Human Resources","National University of Singapore, Office of Human Resources",Undisclosed Senior Manager Singapore - Across Singapore - Singapore,"To lead the team to build Artificial Intelligence (AI) and Data products for the industry by collaborating with researchers. This is a leadership/manager role.  To lead and undertake industry projects in AI/data science to build products in conjunction with the data engineering team.  To lead research and stay current on the state of the art in AI and data science practise  To host Meet-ups to introduce bleeding edge technologies to the wider-community  To host user-groups to share best practices and discuss latest advances in AI and Data Science research To develop training materials to share with team members and students  Master's degree or PhD in Statistics, Machine Learning, AI, Mathematics, Engineering, Computing, Biostatistics or Social Sciences.  10 or more years' experience with various data analysis and visualization tools  10 or more years of experience in R and/or Python; command line usage  Demonstration of self-learning through hackathons or open user-group and conference participation  Demonstration of initiative through side-projects, Kaggle competitions, MOOC or workshop attendance  Evidence of contribution to the wider analytics community through mediums such as blog posts, open source contributions or speaking at user events.  A track record of data munging and discovery to discover hidden patterns and analysis  Intimate knowledge of common machine learning techniques and key parameters that affect their performance  Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.  Experience building deep learning models such as TensorFlow, Keras and Pytorch libraries  Proficiency with running deep learning models on Azure or Google Cloud Platforms. Able to use Virtual Machine Instances on these Platforms  Experience with Reinforcement Learning algorithms and training AI agents on OpenAI Gym environments  Good data communication skills; able to combine Python visualisation libraries with Tableau, and apply good design principles to visualisations, dashboards and reports  Commitment to spreading knowledge of all the above through talks, meetups and developing tutorials and teaching materials."
