company_name,job_title,job_desc,salary
The Supreme HR Advisory Pte Ltd,"EDM Technician[CNC EDM/ Wirecut, Preferably Sodick machines]", North Attractive Salary Career Progression Opportunities  Interested applicants can send your resume to supreme.terryyeo1@gmail.com and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.  *Requirements and Skills At least 3 years experience in Precision CNC EDM/ Wirecut Preferably Sodick machines Professional certificate Able to travel to Malaysia as and when required Shift work required  *Job Description   Able to operate machines to achieve high accuracy and fine finishing Surface Grinding foundation Able to maintain equipment and machines Reg No R1871723 Ea No 14c7279 Job Type: Full-time Job Type: Full-time ,1250
BGC GROUP PTE LTD,Data Entry Officer / Public Surveyor - JP,"BGC Group is hiring 50 full-time data entry officers cum surveyors who are keen to make a difference to the local community through data gathering. This will be an office based role and youâll be required to engage with Singaporean households over the line. Ideally, you would be able to commit to the job for 3 months to a year.  Your Role: Data Entry Officer / Public Surveyor Conduct simple surveys with local households over the phone (outbound calls based on given household list) - no cold calling Perform basic data entry such as keying in survey returns, amending data, etc  Requirements Only Singaporeans need apply No experience required as training is provided Has a friendly disposition and confident communication skills Comfortable with a 6 day work week and 2 shift timings, exceeding no more than 37 hours/week Others 2 Shifts: Monday - Friday + 1 weekend (full-day) Perks & Benefits Career continuity and support for all BGC signed candidates BGC REFERRAL BONUS: Don't forget to also refer your friends to us, and earn up to $310 in cash vouchers when they get hired too! Find out how here: bit.ly/ReferralProgramBGC 3 Ways To Apply 1. Click ""Apply Now"" (Recommended) 2. Email hiring@bgc-group.com your resume, with the subject (STJobs DE Surveyor)  For new full-time, temporary/ contract jobs, visit us at www.bgc-group.com! ",Undisclosed
Singapore Management University (SMU)                    Posted On :19 Jul 2018,"Research Scientist (1-year contract), Fujitsu-SMU Urban Computing & Engineering","JOB DESCRIPTION  Work under supervision of Principal Investigator''s UNiCEN''s research problems, design and implementation of working prototypes and publications. These activities are to be carried out in consultation with UNiCEN director. Engage & lead in project discussions and requirement gatherings with industry players. Manage project implementation and team resources to ensure test-bed solutions are delivered on time and meet requirements.  REQUIREMENTS  PhD in Computer Science, Computer Engineering, or related disciplines. Reseach background in data-mining, machine learning and optimization. Experience in designing incentive mechanism and conducting real-world experiments. Programming in C++, Java. User of optimization tools sush as OPL or Matlab.  #LI-JN1 ",Undisclosed
Singapore Management University (SMU)                    Posted On :20 Jul 2018,"Research Scientist (2-year contract), Living Analytics Research Centre","JOB DESCRIPTION  The Living Analytics Research Centre (LARC) is a research centre set up inSingapore Management University (SMU)andCarnegie Mellon University (CMU)as our strategic partner that focuses on analytics in the fields ofUrban and Community Liveability,Personalised Urban Mobility,Jobs and Skills Intelligence, as well asSmart Consumption and Healthy Lifestyle. Candidates who join us can also expect to gain a deeper knowledge in the following areas such asBig Data Analytics,Data Mining,Machine Learning,Deep Learning, Human Computer Interaction, Urban Computingandother relevant disciplines. The Research Scientist will work with faculty researchers on one or more of the following research topics in the urban/social computing, smart cities and consumer business domains. Data and Text Mining Deep Learning Recommender Systems Big Data Infrastructure Machine Learning Crowdsourcing Social-Urban Sensing  The candidate will also be responsible for one or more the following aspects: Design research methodologies Develop algorithms and models Conduct data science studies Design and conduct experiments Design and implement applications, tools and systems Develop analytics capabilities in big data infrastructure   REQUIREMENTS  PhD in Computer Science and related disciplines Good knowledge in relevant research topics and related research skills Proficient in at least one or more of these programming languages: Java, Python, C#, C++ and C Self-motivated and able to carry out tasks independently Excellent team player and possess strong inter-personal skills Analytical and meticulous with attention to details  ",Undisclosed
Vault Dragon                    Posted On :20 Jul 2018,Data Analyst,"Responsibilities Design and implement databases and data schema for new products or digital solutions Work with development team to develop and enhance data collections, standardisation and analytics Extract and interpret data, while analysing results using statistical techniques and provide ongoing reports Acquire data from new and existing data sources Work with product manager to prioritise business and data requirements Work with development team to enhance capabilities of internal analytics and designing of data schema for digital solutions Understand businessâ data requirements and provide relevant data reports, visualisations, analysis, and insights  Technical Requirements At least 2 years of experience working as a Data Analyst Strong knowledge of and experience with reporting packages (Business Objects etc), databases, and programming (XML, Javascript, ETL frameworks, and Python) Experience in writing queries for SQL database Proficient knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) Detailed and analytical, with a passion to manage and analyse significant amount of data to derive actionable insights Comfortable in present findings to the management team  ",3500
Singapore Health Services Pte Ltd (Singhealth)                    Posted On :18 Jul 2018,"Manager, Information Architecture","  The Office for Insights and Analytics spearheads analytics projects to improve the quality and experience of patient care, and increase efficiency and utility of resources. As part of the team to drive analytics work, you will use advanced data science techniques, including statistical modelling, data mining, and machine learning, and develop data models and algorithms. You will be involved in architecting specialised databases and computing environments, developing methodologies, and performing analysis. You will also assist to formulate hypotheses, develop prototypes, as well as validate and refine solutions. You will assess the data to draw conclusions, develop actionable recommendations and present data insights to management and stakeholders.  Requirements:  PhD, Masters or Bachelors in quantitative disciplines, such as Economics, Statistics, Biostatistics, Bioinformatics, Mathematics, Computer Science, Engineering, Business Analytics, Information System, Operation Research, Physics   At least 6 years of hands-on analytical experience in data modelling and predictive analysis   Deep understanding of statistical modelling, machine learning, or data mining, text mining concepts and a track record of solving problems with these methods   Proficiency in data science tools such as R, SAS, SPSS and Python.   Knowledge of big data techniques (such as Hadoop, MapReduce, Hive, Pig, Spark), deep learning, Business intelligence or Visualisation tool (such as OBIEE, Tableau, D3.js) is an advantage   Excellent communication andinterpersonalskills   Strong team player    ",Undisclosed
Resorts World at Sentosa Pte Ltd                    Posted On :20 Jul 2018,IT Business Analyst,"Job ID: 5105874  Responsibilities: Lead a team in supporting multiple applications systems and platforms and adhere to company, project and support standards and guidelines Understand business processes, identify business requirements, and translate into functional specifications Handle solution design, test and deployment activities of enhancements and fixes during the periodic product release cycles Track and report on project progress, issues and risks to ensure deliverables are on track Requirements: Degree in Computer Science, Engineering, Information Systems or related disciplines At least 6 years of working experience in delivering and supporting IT applications Strong analytical, problem-solving skills and an eye for detail Strong written and verbal communication, including technical writing skills Keen appreciation of customers' needs and strong interest in product delivery and innovation Experience with leading a team of Business Analysts and/or Software Engineers in project delivery and/or providing application maintenance support  ",Undisclosed
The Supreme HR Advisory Pte Ltd,Sales Manager[Feight forward/maritime satellite communications ], Singapore Based Attractive Salary Career Progression Opportunities Interested applicants can send your resume to supreme.terryyeo1@gmail.com and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.  *Requirements and Skills Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in any field. At least 3 Year(s) of working experience in the related field is required for this position. Preferably Manager specialized in Logistics/Supply Chain/Beauty/Food/Commercial Design/food/nutrition/FMCG  *Job Description To increase customer data base To canvas and secure new accounts Develop and qualify leads and work with oversea office and partners. Manage and develop existing customers by increasing the trade volume. Prepare monthly sales plan and discuss with team.   Reg No R1871723 Ea No 14c7279 Job Type: Full-time Job Type: Full-time    ,2750
The Supreme HR Advisory Pte Ltd,Sales Manager[Feight forward/maritime satellite communications ], Singapore Based Attractive Salary Career Progression Opportunities Interested applicants can send your resume to supreme.terryyeo1@gmail.com and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.  *Requirements and Skills Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in any field. At least 3 Year(s) of working experience in the related field is required for this position. Preferably Manager specialized in Logistics/Supply Chain/Beauty/Food/Commercial Design/food/nutrition/FMCG  *Job Description To increase customer data base To canvas and secure new accounts Develop and qualify leads and work with oversea office and partners. Manage and develop existing customers by increasing the trade volume. Prepare monthly sales plan and discuss with team.   Reg No R1871723 Ea No 14c7279 Job Type: Full-time Job Type: Full-time    ,2750
Recruit Express Pte Ltd - IT,Java Systems Analyst,"Exciting opportunities for potential incumbents looking to join reputable companies as the next step of their career. We have multiple headcounts available!  Job Scope Responsible for software design, coding, testing and documentation Perform development work and application support assigned by Team Lead or Project Manager Conduct user requirement analysis for the development/implementation of new systems Prepare project documentation such as functional specifications/use case specifications Assist in the integration testing, system testing, User Acceptance Test and implementation activities Plan and coordinate training for end-users Work with business partners during system implementation and manage post implementation support Take on special projects and assignments as and when assigned  Requirements At least 1-5 years of experience in Java/J2ee development Essential experience in full SDLC cycles from user requirement gathering to implementation Able to start immediately or on short notice would be advantageous  Interested applicants, please send your resume to benjamintan @ recruitexpress.com.sg or click APPLY NOW!  Recruiter's Information: Benjamin Tan Fu Kang (Mr.) Consultant R1766604  ",3000
