,Job_Company,Job_Desc,Job_Salary,Job_Title,Salary_max,Salary_min,min_years
0,Morgan Stanley,"The London-based Global-Balanced Risk Control (GBaR) team manages US$19.6bn in risk-targeting strategies as well as a process that has been in place since 2009 and which has achieved strong long-term risk-adjusted performance. The team has recently expanded its footprint to Singapore with the aim of creating a global investment platform that will enhance our service to clients. In the meantime, to enable the team to continue to achieve superior investment performance with the backing of quality, cutting-edge investment research, there is an opportunity for an ambitious individual to join the GBaR team in a Data Scientist role as an Associate. 

Main Responsibilities
Assist in the development of the teams macro and investment database. This will involve database design, data cleaning, data integration from various sources and data housing.
Help develop an analytical platform for analysing large quantities of economic and investment data.
Maintain and update datasets and chart-packs.
Help design scientific solutions in a macro investment context using advanced statistical modelling or machine learning techniques.
Support portfolio management activities such as portfolio rebalancing, trade implementation, exposure monitoring and preparing client communication.
Help develop investment insight and signals through the effective use of backtesting.
Automate the generation of investment charts, models and signals.
Support senior team members for investment idea generation.
Qualifications:
Strong academic background in a quantitative discipline.
Extensive programming experience with Python, R or MATLAB. Experience in machine learning is highly desirable.
Advanced skills in relational database systems/SQL.
Strong experience in data analysis, charting and data visualisation.
Experience in dealing with large quantity of financial data from sources such as Bloomberg, Datastream, Haver Analytics etc. is a plus.
Experience in multi-asset and macro research is a plus.
Motivated with the passion to apply advanced technology to solve problems in the investment world.
Ability to work and think independently, but within a team-based approach
The London-based Global-Balanced Risk Control (GBaR) team manages US$19.6bn in risk-targeting strategies as well as a process that has been in place since 2009 and which has achieved strong long-term risk-adjusted performance. The team has recently expanded its footprint to Singapore with the aim of creating a global investment platform that will enhance our service to clients. In the meantime, to enable the team to continue to achieve superior investment performance with the backing of quality, cutting-edge investment research, there is an opportunity for an ambitious individual to join the GBaR team in a Data Scientist role as an Associate. 

Main Responsibilities
Assist in the development of the teams macro and investment database. This will involve database design, data cleaning, data integration from various sources and data housing.
Help develop an analytical platform for analysing large quantities of economic and investment data.
Maintain and update datasets and chart-packs.
Help design scientific solutions in a macro investment context using advanced statistical modelling or machine learning techniques.
Support portfolio management activities such as portfolio rebalancing, trade implementation, exposure monitoring and preparing client communication.
Help develop investment insight and signals through the effective use of backtesting.
Automate the generation of investment charts, models and signals.
Support senior team members for investment idea generation.
Qualifications:
Strong academic background in a quantitative discipline.
Extensive programming experience with Python, R or MATLAB. Experience in machine learning is highly desirable.
Advanced skills in relational database systems/SQL.
Strong experience in data analysis, charting and data visualisation.
Experience in dealing with large quantity of financial data from sources such as Bloomberg, Datastream, Haver Analytics etc. is a plus.
Experience in multi-asset and macro research is a plus.
Motivated with the passion to apply advanced technology to solve problems in the investment world.
Ability to work and think independently, but within a team-based approach
Jobs  >  Data Scientist  >  Singapore
The London-based Global-Balanced Risk Control (GBaR) team manages US$19.6bn in risk-targeting strategies as well as a process that has been in place since 2009 and which has achieved strong long-term risk-adjusted performance. The team has recently expanded its footprint to Singapore with the aim of creating a global investment platform that will enhance our service to clients. In the meantime, to enable the team to continue to achieve superior investment performance with the backing of quality, cutting-edge investment research, there is an opportunity for an ambitious individual to join the GBaR team in a Data Scientist role as an Associate. 

Main Responsibilities
Assist in the development of the teams macro and investment database. This will involve database design, data cleaning, data integration from various sources and data housing.
Help develop an analytical platform for analysing large quantities of economic and investment data.
Maintain and update datasets and chart-packs.
Help design scientific solutions in a macro investment context using advanced statistical modelling or machine learning techniques.
Support portfolio management activities such as portfolio rebalancing, trade implementation, exposure monitoring and preparing client communication.
Help develop investment insight and signals through the effective use of backtesting.
Automate the generation of investment charts, models and signals.
Support senior team members for investment idea generation.
Qualifications:
Strong academic background in a quantitative discipline.
Extensive programming experience with Python, R or MATLAB. Experience in machine learning is highly desirable.
Advanced skills in relational database systems/SQL.
Strong experience in data analysis, charting and data visualisation.
Experience in dealing with large quantity of financial data from sources such as Bloomberg, Datastream, Haver Analytics etc. is a plus.
Experience in multi-asset and macro research is a plus.
Motivated with the passion to apply advanced technology to solve problems in the investment world.
Ability to work and think independently, but within a team-based approach
Jobs  >  Data Scientist  >  Singapore
The London-based Global-Balanced Risk Control (GBaR) team manages US$19.6bn in risk-targeting strategies as well as a process that has been in place since 2009 and which has achieved strong long-term risk-adjusted performance. The team has recently expanded its footprint to Singapore with the aim of creating a global investment platform that will enhance our service to clients. In the meantime, to enable the team to continue to achieve superior investment performance with the backing of quality, cutting-edge investment research, there is an opportunity for an ambitious individual to join the GBaR team in a Data Scientist role as an Associate. 

Main Responsibilities
Assist in the development of the teams macro and investment database. This will involve database design, data cleaning, data integration from various sources and data housing.
Help develop an analytical platform for analysing large quantities of economic and investment data.
Maintain and update datasets and chart-packs.
Help design scientific solutions in a macro investment context using advanced statistical modelling or machine learning techniques.
Support portfolio management activities such as portfolio rebalancing, trade implementation, exposure monitoring and preparing client communication.
Help develop investment insight and signals through the effective use of backtesting.
Automate the generation of investment charts, models and signals.
Support senior team members for investment idea generation.
Qualifications:
Strong academic background in a quantitative discipline.
Extensive programming experience with Python, R or MATLAB. Experience in machine learning is highly desirable.
Advanced skills in relational database systems/SQL.
Strong experience in data analysis, charting and data visualisation.
Experience in dealing with large quantity of financial data from sources such as Bloomberg, Datastream, Haver Analytics etc. is a plus.
Experience in multi-asset and macro research is a plus.
Motivated with the passion to apply advanced technology to solve problems in the investment world.
Ability to work and think independently, but within a team-based approach
Jobs  >  Data Scientist  >  Singapore
The London-based Global-Balanced Risk Control (GBaR) team manages US$19.6bn in risk-targeting strategies as well as a process that has been in place since 2009 and which has achieved strong long-term risk-adjusted performance. The team has recently expanded its footprint to Singapore with the aim of creating a global investment platform that will enhance our service to clients. In the meantime, to enable the team to continue to achieve superior investment performance with the backing of quality, cutting-edge investment research, there is an opportunity for an ambitious individual to join the GBaR team in a Data Scientist role as an Associate. 

Main Responsibilities
Assist in the development of the teams macro and investment database. This will involve database design, data cleaning, data integration from various sources and data housing.
Help develop an analytical platform for analysing large quantities of economic and investment data.
Maintain and update datasets and chart-packs.
Help design scientific solutions in a macro investment context using advanced statistical modelling or machine learning techniques.
Support portfolio management activities such as portfolio rebalancing, trade implementation, exposure monitoring and preparing client communication.
Help develop investment insight and signals through the effective use of backtesting.
Automate the generation of investment charts, models and signals.
Support senior team members for investment idea generation.
Qualifications:
Strong academic background in a quantitative discipline.
Extensive programming experience with Python, R or MATLAB. Experience in machine learning is highly desirable.
Advanced skills in relational database systems/SQL.
Strong experience in data analysis, charting and data visualisation.
Experience in dealing with large quantity of financial data from sources such as Bloomberg, Datastream, Haver Analytics etc. is a plus.
Experience in multi-asset and macro research is a plus.
Motivated with the passion to apply advanced technology to solve problems in the investment world.
Ability to work and think independently, but within a team-based approach
Jobs  >  Data Scientist  >  Singapore
The London-based Global-Balanced Risk Control (GBaR) team manages US$19.6bn in risk-targeting strategies as well as a process that has been in place since 2009 and which has achieved strong long-term risk-adjusted performance. The team has recently expanded its footprint to Singapore with the aim of creating a global investment platform that will enhance our service to clients. In the meantime, to enable the team to continue to achieve superior investment performance with the backing of quality, cutting-edge investment research, there is an opportunity for an ambitious individual to join the GBaR team in a Data Scientist role as an Associate. 

Main Responsibilities
Assist in the development of the teams macro and investment database. This will involve database design, data cleaning, data integration from various sources and data housing.
Help develop an analytical platform for analysing large quantities of economic and investment data.
Maintain and update datasets and chart-packs.
Help design scientific solutions in a macro investment context using advanced statistical modelling or machine learning techniques.
Support portfolio management activities such as portfolio rebalancing, trade implementation, exposure monitoring and preparing client communication.
Help develop investment insight and signals through the effective use of backtesting.
Automate the generation of investment charts, models and signals.
Support senior team members for investment idea generation.
Qualifications:
Strong academic background in a quantitative discipline.
Extensive programming experience with Python, R or MATLAB. Experience in machine learning is highly desirable.
Advanced skills in relational database systems/SQL.
Strong experience in data analysis, charting and data visualisation.
Experience in dealing with large quantity of financial data from sources such as Bloomberg, Datastream, Haver Analytics etc. is a plus.
Experience in multi-asset and macro research is a plus.
Motivated with the passion to apply advanced technology to solve problems in the investment world.
Ability to work and think independently, but within a team-based approach
Jobs  >  Data Scientist  >  Singapore
",4500,Data Scientist,4500.0,4500.0,
1,HP Inc,"HP is the worlds leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.

We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.

At HP, the future is yours to create!

Inkjet and Printing Solutions (IPS) is a large contributor to the success of HP. It is an exciting blend of commercial and consumer products with strong market leadership around the globe.

Within IPS, the Ink Supplies in Singapore is responsible for manufacturing of the Printhead and Ink cartridge World Wide

We have launched a Big Data program for Manufacturing, embracing HP core IT strategic pillars of Big Data/Cloud/Mobility and focus on Analytics to drive manufacturing excellence in predictive quality, predictive maintenance, work flow simplification and supply chain optimization.

If you are our Data Scientist in Singapore, you will have a chance to

Be a trusted advisor in the analytics discipline
Create algorithms to extract information from large data sets.
Establish scalable, efficient, automated processes for model development, model validation, model implementation and large scale data analysis.
Develop project guideline, objectives, metrics, deliverables and prototypes that can be used to drive manufacturing excellence
Generate deep insights through the analysis of data and understanding of operational processes and turn them into actionable recommendations.
Good visualization skills to create real-time dashboards and/or reports to inform trends and insights
Collaborate with others in the organization to develop new ideas and brainstorm potential solutions
Are you a high-performer? We are looking for an individual with:

Candidates with a Masters or PhD in Business Analytics, IT-Analytics, Statistics, Computer science, Mathematics or related quantitative fields.
At least 4 years of relevant experience
Experience with databases in general (more so the newer NoSQL DBs) and visualization tools (such as QlikView, Tableau etc ).
Preferred experience with a wide variety of predictive modeling, machine learning, data mining, statistical, text mining, and optimization algorithms (including tools such as R)
Excellent critical thinking skills, combined with the ability to present findings clearly and compellingly verbally and in written form.
Able to translates technical details, observations and results into business language
Innovative, strong analytical and algorithmic problem solvers.
HP is a Human Capital Partner we commit to human capital development and adopting progressive workplace practices in Singapore",7100,Data Scientist,7100.0,7100.0,
2,Point72,"About Cubist 
Cubist Systematic Strategies is one of the world’s premier investment firms. The firm deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources. 
Job Description 
We are passionate about data. We collaborate to build elegant, effective, scalable and highly reliable solutions to empower predictive modelling in finance. 
Cubist’s data services group is looking for a Data Scientist to join our dedicated team. Our group is responsible for the timely delivery of comprehensive and error-free data to some of the most demanding and successful systematic Portfolio Managers in the world. 
This exceptional individual will be a member of a small team of Data Scientists who play a vital role in ensuring the smooth day-to-day implementation of a large research infrastructure, and the live production trading of billions of dollars of capital across global capital markets, including equities, futures, options and other financial instruments. 
Job Responsibilities
Identification of new data sets
Engaging with vendors to understand characteristics of datasets
Building processes and technology tools to ingest, tag and clean datasets
Analysis of datasets to generate descriptive statistics and propose potential applications of data
Research of potential “alpha signals” for presentation to Portfolio Managers
Monitoring and enhancing the automated data collection and cleansing infrastructure
Research on new technologies for improved data management and efficient retrieval
Desirable Candidates
Ph.D. in computer science, mathematics, physics, statistics or another disciplines involving rigorous quantitative analysis techniques
At least 1 year of experience as a Data Scientist, quantitative researcher or in a similar role
Experience working with large data sets, including classification, regression, distribution analysis, and predictive modeling
Experience applying statistical tests to large data sets
Programming skills in SQL, TSQL, SQL Server or PL-SQL
Programming skills in Python and at least one of C#, C++, or Java
Financial industry experience preferred but not required
Experience dealing with intraday, tick and order book data a plus
Strong problem solving skills
Intellectual curiosity and a love of learning
Attention to detail and a love of process
Strong oral and written communication skills",7000,Data Scientist,7000.0,7000.0,
3,Twitter,"Data Scientist, APAC (Singapore)

Singapore

We are considering candidates for both junior and experienced positions. 

Who we are 

The Data Science team based in Singapore has the charter to understand user behavior and accelerate user growth for Twitter, especially in international markets. 

We work on a mix of longer term analysis (such as how can we be smarter about how we send emails and notifications to our users; or how can we measure the impact of various user acquisition efforts) and shorter term tactical work (such as opportunity sizing for certain campaigns). The common thread between all the analysis we do is to seek to have a better understanding of how our users are engaging with our products. 

What you’ll do 

Your work with our large amounts of structured and unstructured data to understand how our users are using the product, and communicate these insights with stakeholders (product managers, executives, business decision makers etc). 

For more experienced hires, you will own important project areas from start to finish. That work includes defining an important roadmap of data science work and executing it. You are highly technical and hands on but you wear a product manager hat easily to make your projects successful. 

Who you are
You care about people:
You have fundamental respect for all people
You are in awe of the ability to understand and help 100s of millions of people
You are great at:
Extracting and transforming data from systems like Hadoop and SQL, using tools such as Pig, Scalding, Hive, Presto
Exploring and visualizing data to drive insights
Applying machine learning techniques for a variety of modeling and relevance problems involving users, their relationships, their Tweets and their interests.
Designing and implementing metrics that help teams focus on what to optimize for
Understanding A/B testing and are able to statistically interpret experimental results
Working with Product Managers, engineers and designers to understand where data can be helpful
Transforming complicated problems into simpler, tractable ones
Communicating with technical and non-technical stakeholders
Requirements:
Bachelor’s, Master’s or PhD degree in Computer Science, Statistics, Math, Engineering, or other quantitative discipline
Some experience with one or more object oriented languages like Java, Scala, C++
Some experience with scripting languages like Python or Ruby etc.
Some experience with statistical programming environments like R or Matlab
Bonus points:
Experience with machine learning
Experience with large datasets and Map Reduce architectures like Hadoop and open source data mining and machine learning projects
We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status.

Engineering",4250,Data Scientist,4250.0,4250.0,
4,Henkel,"Henkel´s Laundry & Home Care brands have been trusted by generations of families. To maintain the trusted quality it takes constant innovation, sound research, cutting-edge product development, smart marketing and sales. Above all, it takes people who share our passion and embrace change. What do you strive for? 

What we offer
Exciting technical / scientific position in our Asian Supply Chain Center of Excellence
International responsibility in developing and implementing Industry 4.0 projects
Governance for existing Big Data and IoT application
Further development of performance management and reporting tools
Regular interaction with >45 international SC locations
Benchmark Henkel Laundry & Home Cares approach to Industry 4.0 vs. peers and other industrial areas and identify potential project ideas.
Who we are looking for
Degree in Informatics or Statistics or related fields
Excellent communication skills, readiness to cooperate in international cross-functional teams
Structured, analytical and solution-oriented way of working
Profound knowledge of MS SQL and Tableau Server and related services
Hands-on experience with Big Data/Cloud stack (e.g., Azure, Hadoop)
Candidates knowing multiple programming languages (e.g., C#, Java) will be preferred
Experience with Mobility platforms, incl. iOS or HTML5
Fluent English language skills
Apply online if this sounds like your next challenge. Refer to the job ID mentioned above and get one step closer to starting your new job at Henkel. 

Discover our winning culture: www.henkel.com/career",5000,Data Scientist,5000.0,5000.0,
5,Kantar Worldpanel,"Data Scientist
Kantar Operating Brand 


Kantar Worldpanel

Location 


Singapore

Req # (ID) 

14413

Apply Now

Kantar Worldpanel 

We help our clients turn purchase behaviour into competitive advantage as we measure, explain and advise across a host of services and capabilities. 

Data Scientist 

Singapore 

Reporting to the Head of Expert Solutions for Kantar Worldpanel Asia, the Data Scientist is responsible for data science and analytics initiatives in the region to support the growth of Kantar Worldpanel in Asia and in strengthening the brand positioning. The candidate for this role will work with stakeholders throughout the organization to support our teams with insights gained from analyzing company data and to identify opportunities in leveraging company data to drive business solutions. 

Global experts in shopper behaviour, we help brands, retailers and government organisations to make the right decisions. At Kantar Worldpanel, we turn purchase behaviour into competitive advantages through continuous monitoring, advanced analytics and delivering tailored solutions. 

Join us and you’ll be part of 30,000 colleagues and 12 world leading research, data and insight brands at Kantar. At the heart of WPP, our unique consumer insight inspires clients to flourish in an extraordinary world. 

Key Outcomes:
As a key enabler in the success of our business, you will create strong interest and preference for Kantar Worldpanel by building scalable, results-oriented analytics solutions that resonate well with our clients.
You will use a variety of data mining / data analysis methods, data tools, build and implement models, and use predictive algorithms to create / run simulations that can drive business results with data-based insights.
Using statistical computer languages (such as R, Python, SQL, etc.) you will discover patterns hidden in large data sets and draw insights with stakeholders to increase and optimize marketing performance, revenue generation, and other business outcomes.
Coordinate with different client teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyse model performance and data accuracy.
Key Capabilities:
The candidate will possess 5 to 7 years of experience in manipulating data sets and building statistical and machine learning models, with a Master’s in Statistics, Mathematics, Computer Science or another quantitative field.
Able to create and use advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modelling, clustering, decision trees, neural networks, etc.
Driven to learn and master new technologies and techniques.
Creativity and the ability to embed new frameworks and approaches.
Excellent communication skills are important as the role requires the candidate to be a presenter, influencer and coach to the team and to stakeholders.
Strong problem-solving skills and adept at using large data sets to find opportunities for optimization and using models to test the effectiveness of different courses of action.
A strong market research practitioner with substantial experience in analyzing data to provide recommendations and insights.
At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and also to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver. 

We go beyond the obvious, using intelligence, passion and creativity to inspire new thinking and shape the world we live in. To apply for a career that’s out of the ordinary, please visit www.kantar.com/careers 

Please note that by applying to this opportunity you consent to the personal data you provide to us to be processed and retained by The Kantar Group Limited (“Kantar”). Your details will be kept on our Internal ATS (Applicant Tracking System) for as long as is necessary for the purposes of recruitment, which may include your details being shared with the hiring manager(s) and for consideration for potential future opportunities by Kantar and its affiliate Kantar group companies. For full details of our privacy policy please visit www.kantar.com",5000,Data Scientist,5000.0,5000.0,
6,Rakuten,"Description

Scope: 

Rakuten Institute of Technology (RIT) is a think-tank and technology incubator for Rakuten Group – focusing on data R&D and strategic technology development. 

With offices in Tokyo, Boston, Paris, and Singapore, RIT contributions cover a broad range of topics, including Data Mining, Natural Language Processing, High-performance computing, UI/UX, and multimedia processing. 

Rakuten Institute of Technology (RIT) is looking for Researchers who are passionate about data and technology. As part of RIT, you will have an exciting opportunity to accelerate growth of existing Rakuten businesses, and to drive innovation with long-term benefits for the company; while collaborating closely with research, engineering, and business teams globally. 

Responsibilities: 

Be an expert and drive research results in one or more of the below areas:
Machine Learning, Statistics, Information Retrieval, Recommender Systems, Natural Language Processing, Machine Translation, Sentiment Analysis, Graph Analysis, Computer Vision, Augmented/Virtual Reality, Other emerging technologies
Deliver results: Develop new technologies, improve business performance
Demonstrate long-term vision, while effectively supporting short-term goals
Be a thought-leader, keeping up with the academic and industry trends

Qualifications: 

- Solid experience in advanced data analytics 

- Knowledge of computer programming 

- Strong interest in contributing to business improvement and growth 

- PhD, or MS with 2+ years of R&D experience in industry or research institute
To Recruiting Agencies: Rakuten does not accept candidate referrals or resumes/CVs from recruitment agencies with whom Rakuten does not have a contract. Rakuten will not accept any claim for payment based on unsolicited referrals or resumes/CVs.",5000,Data Scientist,5000.0,5000.0,
7,Coca Cola,"Job ID: R-09267 

Position Overview:

The Data Scientist's role is to extract insights from a variety of data to enable predictions and data-driven decision-making in the Coca-Cola System and in the Asia Pacific region. The Data Scientist will collaborate with business and technology associates to understand business questions, identify the right data sources and techniques and then, prepare data, develop and train models, develop algorithms (predictive and machine learning), present findings and results, and add to a library of re-usable assets. 
The position will report into the Asia Pacific BI leader and will be a member of the Global IT function. 
The Data science team will be part the Coca Cola company's regional development centre (RDC) and will serve the entire Asia Pacific group. The mission of the RDC is to leverage the power of data & analytics to identify opportunities to drive growth of the company and enable timely and quality decision making.

Function Specific Activities: 

Responsibilities:
Work with subject matter experts and Data/ Business Analysts to understand business questions, processes, and related data. Convert the information into a project charter with measurable deliverables and business goals
Integrate data from a variety of business subject areas: finance, franchise sales, POS, marketing and publicly available data
Analyze data to develop predictive models and identify data patterns and trends
Build, validate and test predictive models
Manage analytics databases and data sets
Detect data anomalies
Develop data science strategies and approaches
Code algorithms and train models
Document processes and research, standards, guidelines, and best practices for teams utilizing the solutions
Key Results
Analytics solutions that meet criteria for business value, cost, time-to-deliver, and reusability
Actionable insights for business teams
Compliance with company and industry best practices and standards
Job Requirements: 

Years of Experience:

5-7 Years Experience

Leadership Behaviors:
DRIVE INNOVATION: Generate new or unique solutions and embrace new ideas that help sustain our business(encompassing everything from continuous improvement to new product and package innovation).
COLLABORATE WITH SYSTEM, CUSTOMERS, AND OTHER STAKEHOLDERS: Develop and leverage relationships with stakeholders to approximately stretch and impact the System (Company and Bottler).
ACT LIKE AN OWNER: Deliver results, creating value for our Brands, our System, our customers, and key stakeholders.
INSPIRE OTHERS: Inspire people to deliver our mission and 2020 Vision, demonstrate passion for the business and give people a reason to believe anything is possible.
DEVELOP SELF AND OTHERS: Develop self and support others' development to achieve full potential.
Growth Behaviors:
GROWTH MINDSET: Demonstrates curiosity. Welcomes failure as a learning opportunity.
SMART RISK: Makes bold decisions/recommendations.
EXTERNALLY FOCUSED: Understands the upstream and downstream implications of his/her work. Tracks and shares external trends, best practices or ideas.
PERFORMANCE DRIVEN AND ACCOUNTABLE: Has high performance standards. Outperforms her/his peers.
FAST/AGILE: Removes barriers to move faster. Experiments and adapts. Thrives under pressure and fast pace.
EMPOWERED: Brings solutions instead of problems. Challenges the status quo. Has the courage to take an unpopular stance.",5000,Data Scientist,5000.0,5000.0,
8,HP Inc,"Job Description: 

Hewlett Packard Enterprise is an industry leading Technology Company that enables customers to go further, faster. With the industrys most comprehensive portfolio, spanning the cloud to the data center to workplace applications, our technology and services help customers around the world make IT more efficient, more productive and more secure. 

At Hewlett Packard Enterprise, we don't just believe in the power of technology, we believe in the power of people when technology works for you. We believe in applying new thinking and ideas to improve the way our customers live and work. 

HPE APJ Innovation Center Singapore focuses on providing customers with world-class products and solutions in the big data analytics space, using state-of-the-art big data technologies and advanced analytics techniques. 

We have an exciting opportunity for a Data Scientist who will perform below duties. 

Responsibilities
Work with and alongside stakeholders to model and frame business scenarios that are meaningful and impactful on critical business processes and/or decisions
Identify what data is available and relevant for problem solving
Design and develop innovative and effective approaches to solve clients' analytics problems
Collaborate and communicate with management, internal, and external partners regarding analysis results, methodologies, project progress, and issue resolution
Provide guidance and mentoring to less-experienced team members
Education and Experience
Ph.D. or Master degree in Computer Science/Statistics/Mathematics/Physics or a related quantitative discipline
Minimum 2 years experience in data analysis/machine learning/deep learning
Knowledge and Skills
Deep understanding of machine learning/data mining algorithms and techniques
Solid knowledge of big data processing framework and tools, such as Spark, Hadoop, MapReduce, etc.
Proficiency in one or more programming languages including but not limited to: Python, Java, Scala, R
Strong analytical and problem solving skills
Excellent written and verbal communication skills
Ability to effectively communicate analysis results to customers and negotiate options at management levels
Hewlett Packard Enterprise is EEO F/M/Protected Veteran/ Individual with Disabilities.",4000,Data Scientist,4000.0,4000.0,
9,Avande,"Role Overview: 

As a Data Scientist, you will leverage your understanding of complex data analysis and modeling to assist project teams in extracting value from their data. Working under the direction of your team members, this role supports question formulation, design, research and development, implementation, and testing. 

Key Role Responsibilities: 

Day-to-day you will:
Support project teams in developing solutions for Avanade's clients driven by exploratory data analysis
Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to better business decision making
Conduct data analyses tests in-line with agreed-upon strategies
Communicate analysis results and recommendations to team members and clients
Provide input and guidance on data visualization techniques and opportunities
Qualifications

Key Role Skill & Capability Requirements: 

Qualifications: 

Core
A Degree in a quantitative field (Statistics, Mathematics, Operations Research, Economics) or a degree in Computer Science
3-5 years of experience in working with data sets to build statistical models
Excellent understanding of machine learning techniques and algorithms such as (Logistic Regression, Decision Trees, Random Forrest, Support Vector Machines, Clustering)
Experience with common data science languages and libraries such as R, Python (NumPy, Pandas, Scikit), Weka, MatLab, etc.
Skills in applied statistics skills, such as distributions, statistical testing etc.
Expertise on machine learning methodology (data preparation, feature engineering, error metrics, model selection and validation)
Proficiency in using query languages such as SQL and/or HiveQL
Great communication skills
Good to have
Experience with NoSQL databases such as MongoDB, Cassandra, HBase
Experience with distributed computing tools like the Hadoop stack, Spark, Pig, Hive etc.
Software development skills in one or more high level languages (C#/C/C++/Java/.Net), one or more scripting languages (Perl/Shell)
Experience with AWS or Azure
Deep Learning frameworks (TensorFlow, Caffe, CNTK, Torch etc.)
Requisition ID - 53964 

Avanade is the leading provider of innovative digital and cloud-enabling services, business solutions and design-led experiences, delivered through the power of people and the Microsoft ecosystem. Majority owned by Accenture, Avanade was founded in 2000 by Accenture LLP and Microsoft Corporation and has 30,000 professionals in 24 countries. Visit us at www.avanade.com.",6000,Data Scientist,6000.0,6000.0,
