,Job Title,Job Description,Salary,Company
1,"VP, Business Data Analyst, Enterprise Data Strategy, Data Management Office"," VP, Business Data Analyst, Enterprise Data Strategy, Data Management Office    The Data Management Office (DMO)  is a business function that covers Enterprise Data Governance, Data Management, Big Data Analytics and Enterprise Data Strategy. Data Management Office ensures that UOB meets all data governance standards set by data regulators and optimize data management and usage to help UOB make smarter, faster and more accurate decisions and to improve operational efficiency.    Job Description    The Senior Business Data Analyst is the primary liaison between the business and IT. Responsibilities include: leading business users, IT project teams, and external partners to drive decision making and define requirements for application development, ensuring that business needs are being met, defining and negotiating project scope, creating documentation of business requirements which guide application development efforts, working closely with the business team, development team and quality assurance team to ensure successful implementation of business requirements, and working collaboratively with IT and business partners to resolve issues.   Job responsibilities:   Perform analysis of business issues, provide recommendations for possible solutions, work with Business users and IT project teams to drive decision making and define requirements for application development, ensuring that business needs are being met. Responsible for User Acceptance Testing - Work with various team/streams to co-ordinate and orchestral testing efforts where handshakes and testing entry criteria are established. Including executes test cases and development of test scripts, including acceptance criteria. Perform data profiling and gap analysis, source to target mappings, data issue capturing, resolution and escalation. Provide end-to-end project delivery support, including workshop planning, conducting of workshop walkthrough, defect support, continuous validation and assisting with rollout activities. Able to perform complex SQL scripting to meet user' requests Complete documentation for business requirements which guide application development efforts, working closely with the Development team and Business teams to ensure successful implementation of business requirements. Work with IT and Business partners to build support processes and procedures, provide ongoing support to manage application SLA', resolve a majority of the problems and fulfill service requests that do not require application development. Analyze opportunities to improve application reliability, provide recommendations for possible solutions, work with IT and Business partners to implement solutions that enhance application and infrastructure reliability. Assist with the development and maintenance of the business requirements process used to define requirements for systems projects, assist with the definition of project scope and create appropriate scope documentation. Communicates project status and escalates issues as needed.   Job requirements:   Bachelors degree in Business Administration, MIS, or related field and more than 10 years work experience in banking industry, preferably with business / functional knowledge in Risk or Finance domain   Writing and Verbal skills with a meticulous attention to detail, to communicate information effectively to leads, managers, and technical staff   Interpersonal skills, to help negotiate priorities and to resolve conflicts among project stakeholders (such as customers, project management, and technical staff)   Knowledge of architecting and modeling in Systems Integration, Data Warehousing, BI tools, Big Data platforms and experienced in the use of analytical /query tools. Must be able to query and understand database solutions   Extensive experience designing, developing, and documenting data-driven solutions - including capturing architectures, metadata systems, data dictionaries, databases and applications   Organizational skills, to work in a fast-paced environment, on multiple projects and tasks concurrently, while also working with the vast array of information gathered during elicitation and analysis and to cope with rapidly changing information   ",Competitive,United Overseas Bank
2,Data Architect,"  An exciting Data Architect role has just become available on an initial 12 month contract. The data architect will be supporting a high profile portfolio of programmes at a leading global bank based in Singapore.  About the Data Architect Role:  In this business critical role, you will be tasked to provide vision, leadership, analysis, and design expertise in creating and executing an Enterprise Data Strategy for a portfolio of programmes at the group level. You should own all data modelling aspects of integrating Bank Service Catalogue data with any new data sources specific to the programmes they are covering and support Senior Project Managers in all aspects of data delivery. Key Responsibilities:   Create data strategy for the program based on the banks standard architecture, collaborate with technology and management teams to understand structural requirements and define standards for how data will be stored, consumed, integrated, and managed across the program Develop, maintain, and evangelize data architecture principles, policies and standards Work with business analysts, data office, source system support teams, and other partners to prioritise and drive the data deliverables across multiple data platform efforts such as data acquisition, data modelling, data distribution, data analytics and reporting Work closely with business leaders, proactively communicating and collaborating with them throughout the entire delivery lifecycle Provide leadership and guidance for developing and maintaining data architecture and data quality management framework standards which adhere to industry best practices Articulate the trade-offs, benefits and risks of all architecture and design solutions as in when required. Collaborate closely with technology/data office and business partners to define and implement effective and efficient solutions to business challenges and opportunities that require data management or data analytics involvement Possess strong understanding of data modelling tools and standards, ETL tools, and big data technologies Create a culture of data transparency and data-driven decision making by listening for the pain points and concretely showing how you can solve them Clear and concise communication, interpersonal, organisational and team building skills, business judgement, and proven leadership  To succeed in this Data Architect role, you need strong data management, data analytics and data visualisation expertise. Key Requirements:   10+ years exp hands on data architecture, data integration, business intelligence and data analysis technologies At least 5+ years of exp in leading data delivery teams with architect capacity In-depth understanding of data integration best practices, leading industry applications &amp; features such as master data management, entity resolution, data quality assessment, metadata management etc Strong people management skills, including the ability to provide candid constructive feedback to analysts and project team members with a focus on accountability and development for team and self  Must be comfortable working with all project stakeholders including business users, architects, project managers, business analysts, developers, test analysts, and production support team  Certification in TOGAF highly desired Documentation -Data Strategy/Target Data Architecture/Data Classification/Reference Architecture/Data Quality framework etc Artefacts - Business capability models, future-state architecture , roadmaps , conceptual data models , business context diagrams etc Process/Data Modelling - 'As Is'/'To Be'/ Visio/Enterprise Architect/Erwin, Etc Strong data architecture skills using Big Data (Hive , Spark , HBase , Hadoop , kakfa , Solr) , SQL , NOSQL , Microstrategy or Tableau Presentation Skills - Data Story telling using visualisations is must   This leading global bank needs no introduction and is recognised as the leader in its field. If you fit the above requirements and open to the challenge based on an initial 12 month contract, with view to convert to permanent then please apply today.  Robert Walters (Singapore) Pte Ltd ROC No.: 199706961E | EA Licence No.: 03C5451 EA Registration No.: R1326573 Don Zhao    ",SGD160000 - SGD200000 per annum + Annual & medical leave & insurance,Robert Walters (Singapore) Pte Ltd
4,Data Analyst,"  Leading the way in International Banking. We support the people and companies driving investment, trade and wealth creation across Asia, Africa and the Middle East. And our heritage and values are expressed in our brand promise - here for good. See our Brand and Values  As a Data Analyst, you will be tasked with managing all aspects of any new work/project assessments thoroughly from inception to delivery. You will need to build close working relationships with chief data office to design and implement specific data requirements based on bank' data standards. In addition, as Data Analyst you will also work closely with Project teams, partners and 3rd party vendors.  Key Roles and Responsibilities   * Work closely with business users to understand their data analysis needs/requirements and build specifications that will include clear definition of business value for data analysis, approach for extracting the data required from Golden Sources and definition of business rules/logic.  * This role will require an alignment to the Bank' Data Quality Management Framework to ensure data quality controls, governance and compliance is aligned with the Bank' Data Strategy and Architecture. * Proactively develop use cases for the application of data analytics to meet different business needs. Build data models/scenarios and demonstrate to business the possibilities of generating insights * Partner with system and data owner to establish to document Data Standards of individual critical data attributes.  * Perform data quality controls assessment, identify gaps and follow-up with data owners for remediation.  * Responsible for standard/advanced profiling of data attributes to assess data quality.  * Conduct gap analysis against the established DQMF framework &amp; guidelines to assess levels of adherence.  * Support transition of data quality and data governance capabilities into BAU * You will need to develop a standard set of analytic tools to enable business to perform data analytics  * Provide data readiness reviews before implementation and manage any issues which may arise from this  * Data Visualisation - This role highly require data story telling skills using data visualisation  tools like Microstrategy, Tableau etc.  Qualifications and Skills   * Documentation - Data Dictionary/Data Modelling/Data Lineage/Business Rules/DQ Rules/ Data Standards, Etc.  * Report Types - Gap Analysis/Problem Analysis/Completeness Dashboards, Etc.  * Process/Data Modelling - 'As Is'/'To Be'/ Visio/Enterprise Architect/Erwin, Etc.  * Strong query language skills (SQL , Hive ,HBase , ETL )  * Good experience with Business Intelligence tools and Decision Support Systems  * Strong data analysis skills using Hive , Spark , Python , R , Microstrategy and Tableau. * Proven experience in working with key stakeholders within the business  * Proven problem solving skills  * Proven Experience in Data Management and Data Quality Management techniques.  * Stakeholder Management / Analysis  * Presentation Skills - Data Story telling using visualisations is must  * Soft Skills - Communication/Negotiation/Relationship Building/Influencing  We are committed to building a culture that fosters a diverse and inclusive environment that' free from bias, where everyone can realise their full potential and make a positive contribution. This is just one of our values that is expressed in our brand promise - here for good. Apply Now...     ",Negotiable,Standard Chartered Bank Singapore
5,Data Architect,"  Leading the way in International Banking. We support the people and companies driving investment, trade and wealth creation across Asia, Africa and the Middle East. And our heritage and values are expressed in our brand promise - here for good. See our Brand and Values  The COO Business Services &amp; Controls team require a Data Architect to provide vision, leadership, analysis, and design expertise in creating and executing an Enterprise Data Strategy for Group COO Projects like Information &amp; Cyber security (ICS) transformation in the bank. The successful candidate should own all data modelling aspects of integrating Bank Service Catalogue data with any new data sources specific to ICS and support Senior Project Manager in all aspects of data delivery.  Key Roles and Responsibilities: * Create Data Strategy for ICS Program based on banks standard architecture, collaborate with technology (CDO) and management teams to understand structural requirements and define standards for how data will be stored, consumed, integrated, and managed across the program. * Develop, maintain, and evangelize data architecture principles, policies and standards. * Work with business analysts, CDO, source system support teams, and other partners to prioritize and drive the data deliverables across multiple data platform efforts such as data acquisition, data modelling, data distribution , data analytics and reporting. * Work closely with business leaders, proactively communicating and collaborating with them throughout the entire delivery lifecycle * Provide leadership and guidance for developing and maintaining data architecture and DQMF standards which adhere to industry best practices.  * Articulate the trade-offs, benefits and risks of all architecture and design solutions as in when required. * Collaborate closely with ITO/CDO and business partners to define and implement effective and efficient solutions to business challenges and opportunities that require data management or data analytics involvement.  * Possess strong understanding of data modelling tools and standards, ETL tools, and big data technologies.  * Create a culture of data transparency and data-driven decision making by listening for the pain points and concretely showing how you can solve them;. * Work with the development teams in iterative sprints to implement the model and optimize the performance and scalability of the system through to production * Clear and concise communication, interpersonal, organizational and team building skills, business judgment, and proven leadership * This role highly require candidate with strong data management, data analytics and data visualisation expertise.  Qualifications:  *10+ years exp hands on data architecture, data integration, business intelligence and data analysis technologies * At least 5+ years of exp in leading data delivery teams with architect capacity * In-depth understanding of data integration best practices, leading industry applications &amp; features such as master data management, entity resolution, data quality assessment, metadata management etc. * Strong people management skills, including the ability to provide candid constructive feedback to analysts and project team members with a focus on accountability and development for team and self * Must be comfortable working with all project stakeholders including business users, architects, project managers, business analysts, developers, test analysts, and production support team *Able to creatively apply analytical solutions to business problems and can think out of the box in adapting to changes. *Ability to work under constant pressure to tight deadlines and deliver high quality output. *Certification in TOGAF highly desired. Skills: * Documentation -Data Strategy/Target Data Architecture/Data Classification/Reference Architecture/Data Quality framework etc.  * Artefacts - Business capability models, future-state architecture , roadmaps , conceptual data models , business context diagrams etc.  * Process/Data Modelling - 'As Is'/'To Be'/ Visio/Enterprise Architect/Erwin, Etc.  * Project Management Methodologies - Waterfall SDLC , Agile , Scrum etc. * Strong data architecture skills using Big Data (Hive , Spark , HBase , Hadoop , kakfa , Solr) , SQL , NOSQL , Microstrategy or Tableau. * Experience in building conversational BI / Artificial Intelligence /Machine Learning highly desired. * Proven Experience in Data Architecture , Data Management and Data Quality Management techniques.  * Stakeholder Management / Analysis  * Presentation Skills - Data Story telling using visualisations is must  * Soft Skills - Communication/Negotiation/Relationship Building/Influencing  We are committed to building a culture that fosters a diverse and inclusive environment that' free from bias, where everyone can realise their full potential and make a positive contribution. This is just one of our values that is expressed in our brand promise - here for good. Apply Now...    ",Negotiable,Standard Chartered Bank Singapore
8,Data Manager,"  This role reports to the project lead, Retail Banking Data Management. The successful candidate will adopt best practices and a structured approach towards project management and facilitate country deployment of DQMF policy and procedures enhance data ownership and capabilities of existing team, provide independent assurance of ownership, documentation and controls in RB Data Management process.  Key Roles and Responsibilities * Partner with system and process owner to establish end-to-end lineage of individual data attributes * Perform controls assessment, identify gaps and follow-up with business owners for remediation * Responsible for profiling of data attributes to assess quality * Define and monitor at a sub-work stream level key risk and issues and manage them as defined in PMP * Conduct gap analysis against the established framework &amp; guidelines to assess levels of adherence. * Work closely with the system SMEs to implement / enhance data quality controls and documentation. * Support transition of data quality and data governance capabilities into BAU Qualifications and Skills * Degree in Accounting, Statistics, or Computer Science specializing in Information Management, or equivalent &amp; PM certifications required (PMP/CAPM etc) * 7-10 years of work experience in Banking domain involving one or more of the following: Core Banking, Cards &amp; Lending products, Client on boarding or Due diligence, Regulatory or Internal reporting, sanctions/ anti-money-laundering, Risk Management (Market, Credit or Operational), Data Governance or IT or data analysis/ profiling roles supporting the above areas * Strong MS Office skills required. Knowledge and experience of SQL, experience of working with data profiling and metadata tools will be added advantage * Strong communication skills - oral, written and presentation. Able to manage communications at senior level with process owners and reporting owners in Retail Banking on matters regarding data management * Able to work independently and familiar with SCB systems and processes * Experience of working with data profiling and metadata tools  What you can expect from the role: * Challenging deadlines. * Interconnected delivery streams requiring on-the-ground programme management expertise to effectively manage dependencies, critical path &amp; interlocks * Significantly high numbers of stakeholders with diverse viewpoints on data quality &amp; levels of controls required within respective functions. * Countless conversations and negotiations with multiple stakeholders across multiple locations. * Satisfaction in delivering against a key objective for the Group.      ",Negotiable,Standard Chartered Bank Singapore
9,"Head, Big Data Engineering (Chief Data Office)"," Leading the way in International Banking. We support the people and companies driving investment, trade and wealth creation across Asia, Africa and the Middle East. And our heritage and values are expressed in our brand promise - here for good. Responsibilities   Build and manage the bank' largest data asset, both with respect to scale and consumption, using open source big data technologies like hadoop, Kafka, HDF and similar Design and deliver next-gen ingestion and consumption frameworks on the top of data lake to support real-time, api-based and serverless use-cases, along with batch (mini/micro) as relevant Be a core member of the bank' group technology strategy committee and provide guidance and support for areas around data strategy such as retention and lineage Liaise closely with various business and function CIO organizations in establishing the best practices and lead data related solutioning discussions Drive ""data monetization"" through designing and implementing ""self-service"" analytics through frameworks and approach patterns, on top of the data lake  Lead a team of core technologists across data and platform engineering across Singapore and Bengaluru Work with our external partners, across product and services, in cementing the gaps in our product/platform offering as well as influence their feature and support roadmaps    Requirements  At least 14+ years of relevant application and/or platform development experience of mission critical systems on Hadoop, Teradata, Vertica, Greenplum or similar Solid understanding on Hadoop and related technologies like HDFS, Hive, Spark, Zeppelin, Yarn, Oozie etc, Good knowledge of Complex Event Processing (CEP) systems like Apache Beam, Apache Flink, Spark Streaming or similar Good knowledge of NoSQL stores such as Cassandra, Voldemort, FoundationDB and caching stores like Redis, MemCached  Ability to translate small POCs into mission critical applications, usually requiring going the whole mile - starting with design and architecture all the way to delivery and support transition Be very technically opinionated and are good at communicating complex technical design choices in a lucid and succinct way to senior management and C-level stakeholders  Strong academic background with deep knowledge in core computer science topics of distributed systems, databases, software development and algorithms ""Educated"" on latest developments in the areas of dev-ops and CI/CD, including containerization, blue-green deployments, 12-factor apps, secrets management etc Managed high-caliber engineering teams across time-zones and regions Strong problem solving and troubleshooting skills with the ability to exercise mature judgment.    We are committed to building a culture that fosters a diverse and inclusive environment that' free from bias, where everyone can realise their full potential and make a positive contribution. This is just one of our values that is expressed in our brand promise - here for good. Apply Now...   ",Negotiable,Standard Chartered Bank Singapore
10,Data Analyst,"  2-3 years of experience in SQL. Knowledge of SAS, R, VBA or Python is an added advantage Must have Banking domain experience  Requirements.  Degree or Diploma in Computer Science, Statistics, Analytics, or equivalent quantitative fields preferred 2-3 years of experience in SQL. Knowledge of SAS, R, VBA or Python is an added advantage Experience in working on several databases Must have Banking domain experience Experience in sharing and defending data analysis, and with high regard for accuracy in output Strong oral and written communication skills; excellent collaborative and stakeholder skills  Roles and Responsibilities  Design, create and automate regular reports. Data analysis for the areas of Compliance and Financial Crime Develop data models that will allow efficient analysis and reporting Identify data and system gaps and work with Technology to rectify the issues Create and maintain document of definitions used during development stage    ",Competitive,Helius Technologies Pte Ltd
11,"Data Lead, FCC Screening, Chief Data Office"," Leading the way in International Banking. We support the people and companies driving investment, trade and wealth creation across Asia, Africa and the Middle East. And our heritage and values are expressed in our brand promise - here for good.  Drive &amp; lead the CDO data agenda to support FCC Screening Lead the CDO Data delivery for the Global Name Screening project Catalogue the lineage of FCC Screening  Establish Roadmap for FCC Screening Solution Set Data Flow Architecture &amp; Key Data Strategy / Principles of Sourcing, Transformation and Use  Review FCC Data Store / Data Fabric Back Flows and any outgoing use of these data Identify Platform Dependencies (HAAS Migration, FSLDM/Data Fabric)  DQMF implementation in collaboration with various stakeholders from system, process and upstream/downstream owners at both Group and Country level.  Attain DQMF compliance for FCC Screening processes which include and not limited to:  Perform data quality controls assessment, identify gaps and follow-up with process/business owners  Review data dictionary and data lineage report as provided by technology workstream and facilitate review and sign off by system strategic owner Facilitate the signing of data service level agreement (SLA) by driving the SLA standard and leverage as a tool to drive data quality enhancement Provide regular updates to senior management on DQMF implementation progress  Maintain the on-going compliance with DQMF and data management ORF through Influence and support closure of Findings as 2nd line in partnership with Process Owner / Risk Owner + Data Governance Review, build automated solution where feasible, and establish periodic regular Assurance Tests for data topology flowing within EDM for FCC GNS  Participate in EDMp Platform Change Forum, for upstream changes Participate in EDMP/L&amp;C ITO change forum for downstream synchronisation         Key responsibilities are (inclusive but not exhaustive):     Represent CDO in FCC Data quality forums, Track &amp; Monitor FCC Screening DQ issues found across projects and BAU Provision of data related advice and enforcement of data standards in BAU/Projects Support FCC data specific queries /audits from external monitors, regulators &amp; GIA Lead a team on analysts and mentor to evangelise the data principles/policy     Qualification     Degree in Engineering, Accounting, Computer Applications / Data Analytics or data Science or equivalent     Domain knowledge      12+ years of work experience in Banking domain involving one or more of the following: Core Banking, Transaction Banking, Treasury products (Foreign exchange, Money market, Bonds etc), Client on boarding or Due diligence, Regulatory or Internal reporting, sanctions/ anti-money-laundering, Risk Management (Market, Credit or Operational) 2+ years in a data delivery role in an enterprise data management organization Excellent knowledge of the FCC Global Name Screening Procedures and implementation framework. Transaction screening knowledge will be an advantage. Experienced in data analysis, profiling and data design in enterprise data management/warehousing Good knowledge of the SCB DQMF/ORF framework and policies     Technical skills    Working Experience of two or more SCB processing systems (e.g., EBBS, Hogan, Tandem, ACBS,STS, CUPID, etc)  Good knowledge of the SCB Entity/Individual Client Static Data systems Experience in data warehouses (Teradata/Hadoop/OBIEE/PDW) used in SCB Expertise of data analysis, modelling, migration, profiling or analytics Expertise in SQL/Querying/Analytical tools Experience of Logical data modelling concepts with proven project experience Familiarity with FircoSoft name Screening, Transaction screening product(s)     Intrinsic traits     Attention to detail, Curiosity High degree of responsibility, self-motivated, requiring minimal supervision Good written and verbal communication skills Able to challenge/ question and connect the 'dots' Exemplary integrity, ethics, independent and resilience.  Ability to collaborate and work dynamically across a broad range of stakeholders    We are committed to building a culture that fosters a diverse and inclusive environment that' free from bias, where everyone can realise their full potential and make a positive contribution. This is just one of our values that is expressed in our brand promise - here for good. Apply Now...        ",Negotiable,Standard Chartered Bank Singapore
12,Senior Data Analyst," Senior Data Analyst   Deep dive into our data to uncover actionable insights and make recommendations that will influence the business' strategic decisions.   Define, collect, and analyze data across divisions and work with teams to drive the business operation forward through data.   Define useful metrics and provide actionable insights and communicate results and ideas to key decision makers.     Qualifications    A good degree in Computer Science or equivalent   5 years of experience with Big Data open source tools (Hadoop, Spark), Big Data proprietary tools (Hortonworks, Cloudera) programing experience (Python, R, Hive) BI tools (Tableau, Spotfire, Microstrategy, Cognos, etc).   Machine learning experience is preferred   Strong background in quantitative analysis using large data sets, and in data-driven decision making.   Ability to visualise and understand trends and patterns arising out of data analysis   Strong verbal and written communication skills and ability to lead effectively across organizations   *LI-CY  ",Competitive,OCBC Bank
14,"Data Analyst, Group Data Management Office (1 year contract)"," Data Analyst, Group Data Management Office (1 year contract)     As part of the GDMO data management/analytics team, this role entails working closely with business and IT stakeholders for the successful implementation of data governance and data quality solution.   As a data analyst, successful candidate is expected to:   Gather and document user requirements (UR) in an efficient manner (for data governance, data quality and reference data management) Involve in the design and development phase of the project via clarifications of UR, and where applicable, assess impact on UR resulting from workarounds due to technical constraints Prepare the data quality (DQ) rules and monitor the implementation Prepare test cases and perform user acceptance testing (UAT) Prepare necessary documentation following OCBC' template (e.g., for implemented DQ rules or UAT) Provide periodic updates to the supervisor about project challenges/issues/status.     Qualifications  The ideal candidate would possess:   At least 1-3 years of experience in the information technology domain and has bachelor degree in Information technology, Computer science or Data analytics discipline. Experience in data warehouse and ETL development, programing (Oracle PL/SQL, Teradata BTEQ etc) or BI tools (such as Qlikview, Tableau, Cognos, etc). In particular, prior experience in Qlikview reports/dashboard development will be viewed favourably Experience in the software development life cycle (SDLC) and able to work closely with IT for project delivery Good knowledge in RDBMS and able to write complex SQL for data extraction Good communication (both spoken and written) and documentation/presentation skills Good problem solving and trouble shooting skills are essential The ability to work independently with minimal supervision   ",Competitive,OCBC Bank
