company,job_description,job_title,salary
Panasonic Asia Pacific Pte Ltd, Provide scientific  technical and organizational leadership for the Artificial Intelligence.. In-depth exploration of the techniques in terms of theoretical  conceptual and implementation aspects.. Design cognitive systems  build applications and proof of concept solutions  create Intellectual Property (IP).. Project planning and management  liaison with stakeholders and research collaborators.. Provide expertise in machine learning (e.g. deep learning)  data mining signal processing and etc. Create technical roadmap  initiate Research and Development (R&D) theme proposals.Job Requirements Master or Ph.D. in Artificial Intelligence  Deep Learning  Computer Science  Engineering or similar.. Rich experience in computer vision  machine learning  data analysis and algorithm development.. Strong track record of publicized papers in top conferences/journal  international competition  patents.. Experience in technology transfer from R&D collaboration projects related to robotic  cognitive systems.. Excellent programming skills in Matlab  Python  C  C++. Demonstrated history of engineering innovation.,AI Engineer at Panasonic Industrial Devices Singapore,
United Overseas Bank Ltd (UOB),Functional area: Group Retail Shared ServicesEmployment type: Full-timeJob Type: PermanentUnited Overseas Bank (“UOB”) is seeking talented individuals for an Analyst role within our Business Banking Analytics Modeling team. The candidate should have a strong understanding of statistical concepts  programming skills and a keen analytical mind.  Responsibilities:  Develop  maintain and enhance Basel credit risk models and retail scorecards (application  behavioural  etc) to support credit risk and performance management of Business Banking portfolios regionally Generate  analyse and monitor portfolio risk and capital reports  scorecard performance reports and booking profiles. Provide ad-hoc credit risk analyses to business managers  senior management and other key stakeholders Drive the use of scorecard and Basel models in customer acquisition  portfolio management  collections and other areas of the credit cycle  through regular engagement with business managers  credit approvers  collections team and other stakeholders Conduct UAT and support deployment of models  as well as analytics datamart enhancement initiatives Conduct periodic training and research and development of new models  methodologies and model applications  Requirements:  Undergraduate degree in a quantitative programme  such as Statistics  Mathematics  Actuarial Science  Financial Engineering  etc. Business  Finance and Economics degrees with a strong quantitative focus and highly relevant working experience will be considered 3 - 5 years of experience in credit risk model development/validation  or similar analytic roles in a retail banking environment. Experience in small business segment is favorable Sound understanding of statistical hypothesis testing concepts and techniques Strong computing skills: SAS - Programming  Enterprise Guide  Enterprise Miner; SQL and database familiarity; MS Office applications  including advanced spreadsheet functionalities. Competency in R  Python and VBA will be an added advantage Excellent communicator (verbal and written) and highly meticulous. Able to work independently with minimal supervision.Develop  maintain and enhance Basel credit risk models and retail scorecards (application  behavioural  etc) to support credit risk and performance management of Business Banking portfolios regionally.Generate  analyse and monitor portfolio risk and capital reports  scorecard performance reports and booking profiles. Provide ad-hoc credit risk analyses to business managers  senior management and other key stakeholders.Drive the use of scorecard and Basel models in customer acquisition  portfolio management  collections and other areas of the credit cycle  through regular engagement with business managers  credit approvers  collections team and other stakeholders.Conduct UAT and support deployment of models  as well as analytics datamart enhancement initiatives.Conduct periodic training and research and development of new models  methodologies and model applications.Undergraduate degree in a quantitative programme  such as Statistics  Mathematics  Actuarial Science  Financial Engineering  etc. Business  Finance and Economics degrees with a strong quantitative focus and highly relevant working experience will be considered.3 - 5 years of experience in credit risk model development/validation  or similar analytic roles in a retail banking environment. Experience in small business segment is favorable.Sound understanding of statistical hypothesis testing concepts and techniques.Strong computing skills: SAS - Programming  Enterprise Guide  Enterprise Miner; SQL and database familiarity; MS Office applications  including advanced spreadsheet functionalities. Competency in R  Python and VBA will be an added advantage.Excellent communicator (verbal and written) and highly meticulous. Able to work independently with minimal supervision.,"AVP / Manager, Portfolio & Regulatory Management – Business Banking Analytics Modelling",
United Overseas Bank Ltd (UOB),Functional area: Sector Solutions GroupEmployment type: Full-timeJob Type: PermanentJob responsibilities:   Data transformation and integration from diverse data sources Translate data into insights to be able to answer business questions Build predictive models to extrapolate missing information of data and exploit various data mining opportunity Coordinate with various internal and external business stakeholders across multiple key business sectors to ensure smooth data-to-insights communication    Job requirements:   At least 3-7 years prior data analytics/science experience  proficient in statistical tools such as SAS/Python/R/Excel. Financial industry knowledge is a plus Desktop/on-line research capacity and experience Strong sense of responsibility and teamwork Meticulous  inquisitive  proactive and able to initiate and bring along extra values beyond BAU Independent worker with good communication and interpersonal skills to effectively interact with colleagues and external parties of all levels.Data transformation and integration from diverse data sources.Translate data into insights to be able to answer business questions.Build predictive models to extrapolate missing information of data and exploit various data mining opportunity.Coordinate with various internal and external business stakeholders across multiple key business sectors to ensure smooth data-to-insights communication.Job requirements:   At least 3-7 years prior data analytics/science experience  proficient in statistical tools such as SAS/Python/R/Excel. Financial industry knowledge is a plus Desktop/on-line research capacity and experience Strong sense of responsibility and teamwork Meticulous  inquisitive  proactive and able to initiate and bring along extra values beyond BAU Independent worker with good communication and interpersonal skills to effectively interact with colleagues and external parties of all levels.,"AVP, Data Analytics (12 months contract), Sector Solution Group/Group Wholesale Banking",
Marina Bay Sands Pte Ltd,Contribute to the Revenue Optimization department in its goal to maximize revenues by performing the following:  Be part of the Business Intelligence team to provide insight and intelligence to various units  across different revenue streams. Collaborate with the business  its applications  solutions  and with technical architects to understand the implications of respective architectures on data architecture and to maximize the value of information. Drive standardization and simplification across the data architecture  lowering cost  improving quality and value of data Improve architectures for Data Warehouse  Master Data/Reference Data  integration for data and transaction processing. Develop conceptual and logical data models for analytics  operational and data mart structures in accordance to industry best practices model(s). Implement processes to collect and maintain inventory of Data assets  JOB REQUIREMENTS  Four-year university degree. Bachelor degree in Information Technology / Management or related discipline required. 3+ years of experience in designing and developing the conceptual  logical and physical design for distributed databases. 3+ years of experience in design and develop Metadata architecture and Master Data Management Solutions. Proficient in complex SQL queries is required for this role. Strong experience in Conceptual  Logical  and Physical Database architectures  best practices  and programming techniques around relational modelling  dimensional modelling and data integration. Experience with Big Data/Hadoop/NoSQL  Visualization and reporting tools  data profiling analysis and transformation preferred. Strong Business and Data Analysis skills Excellent communication (oral and written) and interpersonal skills Ability to thrive in a dynamic and fast-paced environment. Ability to work independently and as part of a team - works well in a collaborative environment. Ability to deal effectively with guests  management  employees and outside contacts while working under pressure and meeting deadlines.Be part of the Business Intelligence team to provide insight and intelligence to various units  across different revenue streams.Collaborate with the business  its applications  solutions  and with technical architects to understand the implications of respective architectures on data architecture and to maximize the value of information.Drive standardization and simplification across the data architecture  lowering cost  improving quality and value of data.Improve architectures for Data Warehouse  Master Data/Reference Data  integration for data and transaction processing.Develop conceptual and logical data models for analytics  operational and data mart structures in accordance to industry best practices model(s).Implement processes to collect and maintain inventory of Data assets.Four-year university degree.Bachelor degree in Information Technology / Management or related discipline required.3+ years of experience in designing and developing the conceptual  logical and physical design for distributed databases.3+ years of experience in design and develop Metadata architecture and Master Data Management Solutions.Proficient in complex SQL queries is required for this role.Strong experience in Conceptual  Logical  and Physical Database architectures  best practices  and programming techniques around relational modelling  dimensional modelling and data integration.Experience with Big Data/Hadoop/NoSQL  Visualization and reporting tools  data profiling analysis and transformation preferred.Strong Business and Data Analysis skills.Excellent communication (oral and written) and interpersonal skills.Ability to thrive in a dynamic and fast-paced environment.Ability to work independently and as part of a team - works well in a collaborative environment.Ability to deal effectively with guests  management  employees and outside contacts while working under pressure and meeting deadlines.,"Analyst, Business Intelligence",
United Overseas Bank Ltd (UOB),Functional area: Group Retail Shared ServicesEmployment type: Full-timeJob Type: PermanentResponsibilities:  Drive the use of scorecard and Basel models in customer acquisition  portfolio management  collections and other areas of the credit cycle. Liaise with business managers  credit approval  collections and other stakeholders to obtain feedback on model performance and perform score cut-off reviews to refine policies. Optimize underwriting and customer/portfolio management risk policies through use of analytics and champion challenger strategies. Ensure risk and return profile is optimized and within the banks risk appetite. Generate  automate  analyze and monitor portfolio risk reports  monthly review reports  and scorecard performance report. Provide regular and ad-hoc credit risk analysis and advisory to business managers  senior management  regulators and key stakeholders. Support retail product and credit programs  including the review / estimation of risk parameters  product pricing  product structure and regulatory requirements.  Requirements  Degree in a quantitative programme  such as Statistics  Mathematics  Actuarial Science  Financial Engineering  etc. Minimum 5 years of working experience in credit risk  credit modeling and management  or data analytics  preferably in a retail banking environment. Consulting and risk vendor experiences will also be considered. Strong knowledge of retail banking customer credit cycle especially in secured lending is an advantage Strong IT skills  especially in Excel  PowerPoint  VBA  SAS  Enterprise Guide  Enterprise Miner  SQL  Python.Drive the use of scorecard and Basel models in customer acquisition  portfolio management  collections and other areas of the credit cycle. Liaise with business managers  credit approval  collections and other stakeholders to obtain feedback on model performance and perform score cut-off reviews to refine policies.Optimize underwriting and customer/portfolio management risk policies through use of analytics and champion challenger strategies. Ensure risk and return profile is optimized and within the banks risk appetite.Generate  automate  analyze and monitor portfolio risk reports  monthly review reports  and scorecard performance report. Provide regular and ad-hoc credit risk analysis and advisory to business managers  senior management  regulators and key stakeholders.Support retail product and credit programs  including the review / estimation of risk parameters  product pricing  product structure and regulatory requirements.Degree in a quantitative programme  such as Statistics  Mathematics  Actuarial Science  Financial Engineering  etc.Minimum 5 years of working experience in credit risk  credit modeling and management  or data analytics  preferably in a retail banking environment. Consulting and risk vendor experiences will also be considered.Strong knowledge of retail banking customer credit cycle especially in secured lending is an advantage.Strong IT skills  especially in Excel  PowerPoint  VBA  SAS  Enterprise Guide  Enterprise Miner  SQL  Python.,"Assistant / Vice President, Portfolio & Regulatory Management – Retail Analytics (Secured)",
United Overseas Bank Ltd (UOB),Functional area: Risk ManagementEmployment type: Full-timeJob Type: PermanentThis is a quantitative role which focuses on the modelling of counterparty credit risk exposure and working with IT to implement exposure methodology in the counterparty credit risk measurement & monitoring system. This role will work closely with front office to advise credit risk on a transactional basis for complex/structured products will also perform product risk assessment as part of the new product approval process. This role is part of the Counterparty Credit Risk team which is responsible for modelling  measurement & management of counterparty credit risk for the entire Group.  Key responsibilities  Develop & enhance simulation-based counterparty credit risk models for calculating Potential Future Exposure (PFE) for derivatives portfolio covering:  Rates  FX  Commodity  Credit & Equity Securities Financing Transactions (e.g. Repo/Reverse Repos)   Perform product risk assessment for new derivative/structured product approval Advising the front office on the credit risk for new complex derivative transactions on a time-critical basis Maintain & enhance risk-based pricing calculator for OTC derivative transactions Liaise with IT & external vendor to implement risk methodology in counterparty credit risk measurement & monitoring system Oversee and drive oversight and delivery of projects  Requirements  Masters or PhD in a quantitative field (e.g. Quantitative Finance  Financial Engineering  Mathematics  Physics) Experience with quantitative model development/validation for counterparty risk  market risk or derivative pricing Good knowledge of traded products and thorough understanding of quantitative concepts relating to counterparty credit exposure  historical real-world calibration  Monte Carlo simulation & derivative pricing Familiarity with Basel regulatory requirements (e.g. SA-CCR  CVA risk) is a plus.Develop & enhance simulation-based counterparty credit risk models for calculating Potential Future Exposure (PFE) for derivatives portfolio covering:  Rates  FX  Commodity  Credit & Equity Securities Financing Transactions (e.g. Repo/Reverse Repos).Perform product risk assessment for new derivative/structured product approval.Advising the front office on the credit risk for new complex derivative transactions on a time-critical basis.Maintain & enhance risk-based pricing calculator for OTC derivative transactions.Liaise with IT & external vendor to implement risk methodology in counterparty credit risk measurement & monitoring system.Oversee and drive oversight and delivery of projects.Masters or PhD in a quantitative field (e.g. Quantitative Finance  Financial Engineering  Mathematics  Physics).Experience with quantitative model development/validation for counterparty risk  market risk or derivative pricing.Good knowledge of traded products and thorough understanding of quantitative concepts relating to counterparty credit exposure  historical real-world calibration  Monte Carlo simulation & derivative pricing.Familiarity with Basel regulatory requirements (e.g. SA-CCR  CVA risk) is a plus.,"Assistant Vice President, Country & Credit Risk Management - Counterparty Credit Risk Analytics",
Marina Bay Sands Pte Ltd,Contribute to the Revenue Optimization department in its goal to maximize profit revenue by performing the following:  Assist the Manager of Analytics in the evaluation  analysis and recommendation of initiatives as related to casino operations and casino marketing. Provide in-depth analysis and revenue tracking of the products and promotions  incorporating various statistical methodologies (such as logistic regression and cluster analysis) in order to determine the most profitable products and patrons. Analyze  maintain  improve the casino databases and make presentations to management highlighting key trends and action recommendations. Support Marketing programs including: loyalty program  direct marketing offers  club card tiering levels and communication channels through data preparation and data mining. Work closely with the team to generate algorithms and create predictive models to identify potential high-value customers and the corresponding re-investment and acquisition strategies required to influence behaviour and repeated visitation. Keep apprised of current gaming market trends through interaction with industry peers and surveys. Provide ideas and suggestions for new programs  services  technology and processes to ensure Marina Bay Sands competitive advantage.  JOB REQUIREMENTS  Degree in Business Analytics  Applied Mathematics  Statistics or other analytical fields preferred. 2 to 4 years of practical experience in business analysis  slot or table game revenue or marketing analytics experience preferred. Ability to work through complicated processes and accurately compile offer matrices and knowledge of the various methods and tools used in the delivery of the approved offers. Ability to process massive amounts of data and complete critical projects in a correct  accurate and timely manner. Verifiable success being proactive in responding to changing market factors. Advanced programming skills using analytical tools such as Base SAS  SAS EG  R  Python and various slot or table game rating Software required. Designing impactful data visualization to communicate complex ideas in Data Visualization Tools. Excellent communication  writing  presentation  statistical and data analysis skills.Assist the Manager of Analytics in the evaluation  analysis and recommendation of initiatives as related to casino operations and casino marketing.Provide in-depth analysis and revenue tracking of the products and promotions  incorporating various statistical methodologies (such as logistic regression and cluster analysis) in order to determine the most profitable products and patrons.Analyze  maintain  improve the casino databases and make presentations to management highlighting key trends and action recommendations.Support Marketing programs including: loyalty program  direct marketing offers  club card tiering levels and communication channels through data preparation and data mining.Work closely with the team to generate algorithms and create predictive models to identify potential high-value customers and the corresponding re-investment and acquisition strategies required to influence behaviour and repeated visitation.Keep apprised of current gaming market trends through interaction with industry peers and surveys.Provide ideas and suggestions for new programs  services  technology and processes to ensure Marina Bay Sands competitive advantage.Degree in Business Analytics  Applied Mathematics  Statistics or other analytical fields preferred.2 to 4 years of practical experience in business analysis  slot or table game revenue or marketing analytics experience preferred.Ability to work through complicated processes and accurately compile offer matrices and knowledge of the various methods and tools used in the delivery of the approved offers.Ability to process massive amounts of data and complete critical projects in a correct  accurate and timely manner.Verifiable success being proactive in responding to changing market factors.Advanced programming skills using analytical tools such as Base SAS  SAS EG  R  Python and various slot or table game rating Software required.Designing impactful data visualization to communicate complex ideas in Data Visualization Tools.Excellent communication  writing  presentation  statistical and data analysis skills.,"Associate Analyst/Analyst, Gaming Analytics",
Micron Semiconductor Asia,Req. ID: 88661...Responsibilities:.,BIG DATA ENGINEER,
Net Matrix,8+ years of experience in the field of Software Engineering.4 years of hands-on experience in Hadoop.2 years of hands-on experience in Apache spark programming..Experience with HTML  JavaScript  SQL.Experience in Data Visualization (technologies like Qlikview or Tableau or Looker).Experience working with AWS technologies is a plus..Good knowledge and understanding of current big data technologies..Experience working on Java/Python and experience in writing shell scripts.8+ years of experience in the field of Software Engineering.4 years of hands-on experience in Hadoop.2 years of hands-on experience in Apache spark programming.Experience with HTML  JavaScript  SQL.Experience in Data Visualization (technologies like Qlikview or Tableau or Looker).Experience working with AWS technologies is a plus.Good knowledge and understanding of current big data technologies.Experience working on Java/Python and experience in writing shell scripts.,Big Data Developer,6000 - 7500
Trakomatic pte ltd,As a Computer VIsion Software Engineer at Trakomatic  youll be responsible for adapting video analytics algorithms and AI models from our in-house R&D department into production-grade software applications. Applications will vary between robust backend services and robust presentation-grade technology demonstration applications...Responsibilities:...Develop user-centric intuitive Software to benefit our customers....Work closely with product managers  designers  QA Testers and Support personnel....Timely delivery with professionalism and quality....Follow Clean Coding standards and maintain repository etiquette....Lead team of software engineers....Drive software development initiative with the team to ship high quality software fast........Requirements:...Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication)  Computer Science/Information Technology or equivalent....At least 5 Year(s) of working experience in the related field is required for this position....Required Expert Skill(s): Expertise in C++  .NET C#  Windows Platform. ...Required Intermediate Skill(s): Ubuntu skills  Python....Experience working with computer vision algorithms  OpenCV library  Matlab Runtime  machine learning and deep learning....Good experience in Debugging  Reverse Engineering and Porting code....Good experience in Memory and Processor cycle optimization....Strong leadership qualities....Good communication and team player....Willing to take on large challenges and work on cutting-edge technologies.,Computer Vision Software Engineer,4000 - 6000
