company,role,salary,JD
Capital Match Holdings Pte Ltd,Data Scientist / Data Analyst Intern,"$1,000 - 1,500 ","What You Will LearnLearn how using big data you can optimize credit decisions through hands-on experience in an innovative finance-technology industry! Put your knowledge in good use through conducting challenging projects that will be applied in our business.As a Data Analysis Intern/Data Scientist Intern, you will get the chance to explore if this is the area you are keen on developing a career in, and get a head start before your peers with this real and dynamic internship!Job Description Assist management team to shape strategic direction of our business by analysing data and information collectedTransforming data into analysis to achieve desirable goalDeveloping reports out of analysis resultRequirementsTalented student from any discipline will be consideredStrong Microsoft Excel skillKnowledge of VBA and data analysis tools is a plusGood analytical and problem-solving skillsFull of idea and initiativesInterested in the Fintech industryAble to start immediatelyWhat We OfferLook forward to a pleasant and dynamic work environment in one of the largest marketplace lending and invoice financing platform in Southeast Asia. You will be learning from a small team of talented professionals who are eager to show you how business should be done. We have culture of transparency and freedom to thrive. We welcome initiative to solve problems and eagerness to overcome every challenge you encounter."
Carro,Data Scientist / Engineer (Analyst),"$3,000 - 6,000 ","Requirements- Masters/Bachelors on Econometrics, Statistics, Applied Mathematics, Computer Science or related field;- Strong Python & MYSQL skills - 2 to 5 years of quantitative and qualitative resource and analytics experience;- Knowledge and hands-on experience in applied mathematical/statistical algorithms, optimization methods and statistical modelling;- Able to synthesize data into actionable business insights;- Knowledge of analytical software/tools and models- Proactive, quality-conscious, customer-oriented and results-oriented;- Good analytical ability, conceptual thinking, planning and organisational skills;"
General Insurance Association of Singapore,Intern - Data Scientist,"$800 - 1,200 ","As a Data Scientist (Intern), you will be attached to an innovation center focused on disrupting the traditional insurance model and diversifying into new products and sectors including the Connected Home, Sharing Economy, Next-Gen Vehicles, Modern Aging, and Cyber Security. You will also support research and development efforts in a diverse set of challenges as we rapidly prototype and build new insurance products.About the job:- Translate product ideas into well-posed data science challenges, and solve them- Find new markets and novel applications for our core internal data- Design and deploy Machine Learning (ML) systems backing our products- Translate and champion our ML capabilities for non-technical audiences- Participate in the broader ML community to stay current with the latest techniques and softwareDesired skills:- Extensive experience analyzing data and a broad understanding of core statistical and ML techniques- Expertise with Python, Java, C, or similar language, along with standard machine learning libraries- Computer science background, comfortable working with both technical and non-technical staff to translate concepts and algorithms into working prototypes- Ability to thrive in a fast-paced environment with significant uncertainty- Possess strong analytical, strategic, project management, decision-making and problem-solving skill"
Jewel Paymentech Pte Ltd,Intern – Data Scientist (ITDS17),$800 ,"We are looking for individuals energised to see through projects from concept to implementation. Be prepared for a fast-paced and exciting environment and you will gain a broad experience in understanding the banking and electronic payments industry.Collaborate with other developers and designers to build solutions for the financial industryVisualisation of complex datasetsBuild, test and deploy machine learning models to combat fraud and other payment risk issues.Collaborate with other developers and designers to build solutions for the financial industry.Develop advanced analytic tools and refining of existing models.Students applying for this Job should possess a passion in problem solving, web development and fancy some creative works. Do you want to experience working in a fast-paced environment with new challenges every day? This is the place.Join us for a one-of-a-kind internship experience, where you will:Enjoy a dynamic working environment   you will be a part of a team that prides itself on engineering innovative solutions to complex problemsLearn about payment systems, fraud, financial industry processes, AI, and much more from our experienced teamExperience our fun activities   plenty of snacks, regular movie nights, and team activ"
Dioworks Learning Pte Ltd,Natural Language Processing Data Scientist,"$4,000 - 5,000 ","ResponsibilitiesWe are looking for a Natural Language Processing data scientist to implement and improve our chatbot products.As a Natural Language Processing Data Scientist, you will be responsible for:implementing algorithms and building machine learning models in Python for Question Answering, Natural Language Understanding, Topic Segmentation/Modelling and Part of Speech (POS) Tagging.applying deep learning to Natural Language Processing, Understanding and Generation.building and adapting machine learning models for production systems.creating and implementing chatbots including all the necessary backend development.RequirementsAn ideal candidate will have:A tertiary qualification in a highly quantitative field.Excellent working knowledge and proven technical proficiency in Python language.Proven experience with Natural Language Question Answering in academia or in the industry.Proven experience working with Deep Learning, preferably in Tensorflow or Keras.Proven experience in at least three of the following: NLTK, SpaCy, Gensim, AIML, Django.Experience with the Facebook App Review process and Messenger chatbot development and deployment will be a bonus but not required.Singapore citizenship or PR preferred.Kindly note that only shortlisted candidates will be notified."
Cresco Data Pte Ltd,Data Scientist Internship,"$800 - 1,500 ","We are looking for a Data Scientist to help us analyse vast amounts of data and help us make smarter decisions to deliver better products. You will develop, construct, test and maintain architectures such as databases and large-scale data processing systems.Data Scientist Duties:Analyzing complex, incomplete, and large data from internal and external databasesProviding insights based on data including data visualization, interfence statistics, predictive modeling, machine learning, and presentationDeep understanding of modern machine learning techniques and their mathematical underpinning such as classification, recommendation system and natural language processingBuild an integrated custom dashboard marketing and automatic toolsSkills and Qualifications:Strong programming skill (Python, R, or scala preferred)Strong data analysis tools (excel, spreadsheet, supermetrics, etc.)1+ years experience developing machine learning models at scale from inception to business impactHaving passion in databases, data analysis, statistics, modeling, and machine learningPersonal Skills:Quick learner with interest in eCommerce. Self-confident, team player with the motivation to learn and grow. We re looking for dynamic enthusiastic people who want to learn and make a difference, leaders, who can think on their feet, who are not scared to use their initiative and suggest or try new things. We want people who thrive in a fast paced environment."
Cresco Data,Data Scientist Intern,"$800 - 1,000 ","We are looking for a Data Scientist to help us analyse vast amounts of data and help us make smarter decisions to deliver better products. You will develop, construct, test and maintain architectures such as databases and large-scale data processing systems.Data Scientist Duties:Analyzing complex, incomplete, and large data from internal and external databasesProviding insights based on data including data visualization, interfence statistics, predictive modeling, machine learning, and presentationDeep understanding of modern machine learning techniques and their mathematical underpinning such as classification, recommendation system and natural language processingBuild an integrated custom dashboard marketing and automatic toolsSkills and Qualifications:Strong programming skill (Python, R, or scala preferred)Strong data analysis tools (excel, spreadsheet, supermetrics, etc.)1+ years experience developing machine learning models at scale from inception to business impactHaving passion in databases, data analysis, statistics, modeling, and machine learningPersonal Skills:Quick learner with interest in eCommerce. Self-confident, team player with the motivation to learn and grow. We re looking for dynamic enthusiastic people who want to learn and make a difference, leaders, who can think on their feet, who are not scared to use their initiative and suggest or try new things. We want people who thrive in a fast paced environment."
Shentilium Technologies,Intern - Data Scientist,"$800 - 1,000 ","Introduction/OpportunityCome be part of a B2B tech startup poised as a driver of innovation in the world of FinTech. Work beside passionate and driven experts in the fields of finance and data science to construct high-end data analytics and Deep Learning products that will change the face of the FinTech industry.ResponsibilitiesYou will be working together closely with some of the best data scientists in Singapore and Asia to develop game-changing machine learning systems and technologies targeted at the finance industry. As part of our company culture, you will also have the opportunity to gain valuable insights into entrepreneurship, machine learning, data analytics techniques, finance, and more.Utilize various statistical and machine learning methods to mine relationships, extract patterns and features, or otherwise derive value from dataPerform ETL, data cleaning and data crowdsourcing tasks in preparation for data analysisProvide input and contribute to strategic decisions regarding the development of our data analytics product suiteWork as part of a team and communicate ideas and feedback effectivelyRequirements Currently pursuing a degree in a quantitative discipline or equivalentFluent in R, SAS or PythonFluent with a wide variety of statistical analysis and machine learning techniquesFluent with APACHE SINGA, Tensorflow, Theano, or other deep learning frameworks favourableGood communication skillsAble to deliver good work within tight deadl"
Jewel Paymentech,Intern - Data Scientist,"$800 - 1,500 ","ResponsibilitiesJewel Paymentech is looking for a highly motivated intern to join our team and support us in several new initiatives that includes web and mobile application development.We are looking for individuals energised to see through projects from concept to implementation. Be prepared for a fast-paced and exciting environment and you will gain a broad experience in understanding the banking and electronic payments industry.Collaborate with other developers and designers to build solutions for the financial industryVisualisation of complex datasetsBuild, test and deploy machine learning models to combat fraud and other payment risk issues.Collaborate with other developers and designers to build solutions for the financial industry.Develop advanced analytic tools and refining of existing models.Students applying for this Job should possess a passion in problem solving, web development and fancy some creative works. Do you want to experience working in a fast-paced environment with new challenges every day? This is the place.BenefitsA dynamic working environment   you will be a part of a team that prides itself on engineering innovative solutions to complex problemsLearn about payment systems, fraud, financial industry processes, AI, and much more from our experienced teamCool working environment   plenty of snacks, regular movie nights, and team activitiesRequirementsA love for data and data analysisKnowledge, skills and abilities in scikit-learn, jupyter, R, Excel, Matlab, and other similar toolsFoundation in Python, C, Java and other programming languagesAbility to work with databases at a basic level (SQL and noSQL)"
Cresco Data Pte Ltd,Data Scientist Internship,"$800 - 1,500 ","Role:We are looking for a Data Scientist to help us analyse vast amounts of data and help us make smarter decisions to deliver better products. You will develop, construct, test and maintain architectures such as databases and large-scale data processing systems.Data Scientist Duties:Analyzing complex, incomplete, and large data from internal and external databasesProviding insights based on data including data visualization, interfence statistics, predictive modeling, machine learning, and presentationDeep understanding of modern machine learning techniques and their mathematical underpinning such as classification, recommendation system and natural language processingBuild an integrated custom dashboard marketing and automatic toolsSkills and Qualifications:Strong programming skill (Python, R, or scala preferred)Strong data analysis tools (excel, spreadsheet, supermetrics, etc.)1+ years experience developing machine learning models at scale from inception to business impactHaving passion in databases, data analysis, statistics, modeling, and machine learningPersonal Skills:Quick learner with interest in eCommerce. Self-confident, team player with the motivation to learn and grow. We re looking for dynamic enthusiastic people who want to learn and make a difference, leaders, who can think on their feet, who are not scared to use their initiative and suggest or try new things. We want people who thrive in a fast paced environment."
