,job_title,company,salary,job_description
0,Senior Data Engineer,THOUGHTWORKS PTE. LTD.,"$5,700to$11,200Monthly","Roles & ResponsibilitiesSingapore, SingaporeThoughtWorks Singapore is looking for talented engineers passionate about building large scale data processing systems to help
manage the ever-growing information needs of our clients.  
You will be responsible for -   Creating complex data processing pipelines, as part of diverse, high energy teams Designing scalable implementations of the models
 Hands-on programming based on TDD, usually in a pair programming environment Deploying data pipelines in production based on Continuous Delivery practices Advising clients on the usage of different distributed storage and computing
technologies from the plethora of options available in the ecosystem  RequirementsIdeally, you should have -
  5+ years of experience building and deploying large scale
data processing pipelines in a production environment Production-level hands-on experience working on
HDFS, Java MapReduce, Hive, Apache Spark, Oozie etc. Solid understanding of YARN, Mesos, MPP Databases, SQL-on-Hadoop solutions like Impala etc. Experience working with, or an interest in Agile Methodologies, such as Extreme Programming (XP) and Scrum Knowledge of software best practices, like Test-Driven Development (TDD) and Continuous Integration (CI) Strong communication and client-facing skills with the ability to work in a consulting environment is essential Senior developers (7+ years) are expected to be the Architect for small
and large
enterprise projects. On larger projects, you are expected to work closely with the fellow architects to come up with the architecture and take it further. Desire to contribute to the wider technical community through collaboration, coaching, and mentoring of other technologists  If you relish the idea of being part of a community that extends beyond the work we do for our customers, you may find ThoughtWorks is the right place for you. If you share our passion for technology and want to help change the world with software, we want to hear from you! To apply, please submit your CV and tell us why you want to join ThoughtWorks. We will ask you to write code as part of your interview process, so be prepared! Our recruiters will be in touch."
1,Data Scientist,Company Undisclosed,Salary undisclosed,"Roles & ResponsibilitiesOur Client is an established company in Singapore, who is seeking to recruit a Data Scientist.   
   Data Scientist  
   Job Responsibilities  
   You will advocate, evangelize and build data-fuelled products, dig in and become an expert on our datasets. You will provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables.   
   You will work with cross-functional team members to identify and prioritize actionable, high-impact insights across a variety of core business areas. You will lead applied analytics initiatives that are leveraged across the breadth of our solutions. You will research, design, implement and validate cutting-edge algorithms to analyze diverse sources of data to achieve targeted outcomes.   As our data scientist, you will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization. Requirements Ph.D. or Masters Degree in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline. Have a deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms. More than 3 years of experience delivering world-class data science outcomes, proven ability to solve complex analytical problems using quantitative approaches with unique blend of analytical, mathematical and technical skills. Passionate about asking and answering questions in large datasets, and able to communicate that passion to product managers and engineers. Keen desire to solve business problems, and live to find patterns and insights within structured and unstructured data. You propose analytics strategies and solutions that challenge and expand the thinking of everyone around you. Expert in analyzing large, complex, multi-dimensional datasets with a variety of tools. You are accomplished in the use of statistical analysis environments such as R, MATLAB, SPSS or SAS. You have experience with BI tools such as Tableau and Microstrategy. Youre as comfortable with relational databases as you are with Hadoop-based data mining frameworks. You are familiar with SQL, Python, Java and C/C++. Able to work in a fast paced, test-driven, collaborative and iterative engineering environment. You love learning, data, scale and agility. You excel at making complex concepts simple and easy to understand by those around you. Youre driven to show the world the power of applied analytics.  
   
   JJ Consulting Services   EA Licence No.: 12C6207   
   Applicants are invited to send in a MS Word resume to
  jobs@jjconsulting.com.sg
stating position applying for/present/expected salaries and earliest available date.    We thank all applicants in advance and regret that only short listed candidates will be notified."
2,Data Engineer,ADDSTONES SAS,"$5,000to$10,000Monthly","Roles & ResponsibilitiesGFI is an international IT services company, currently employing about 18,000 people Worldwide. GFI provides its clients with innovative, long-lasting industrial solutions to leverage performance from their information systems.  Management Consulting | Digital Transformation | Innovation  Operating over 20 countries,  2017 revenue of over 1,2 billion USD,  48 years of existence. In order to support our forthcoming business and technological challenges, we seek innovative and agile people sharing our mind set. We are now looking for a Data Engineer to join our team in Singapore. General presentation of the position: Part of CIB IT Architecture, Digital and Transformation, the IT Digital Accelerator & Platform Accelerator team is in charge of:  Accelerating the delivery of products from Lab to Prod. Coordinating the correct usage of our platform. Expanding and managing the Digital Expert Community.  One of the Platform we are working on is the APAC Data Solution. This solution will be used for data management, data quality, analytics and reporting services providing the capability to be a data driven organization. Within the team, the Data Engineer ensures that any data is properly received, transformed, stored, and made accessible to other users. Role and Responsibilities:  Constructing data pipelines. Building APIs for data consumption Supporting the Data Platform Continuously monitoring and testing the system to ensure optimized performance  
 RequirementsDeep analytical skills : 
  Business intelligence understanding. Data Visualization tools (tableau). Enjoying discovering and solving problems  Excellent communication skills :  Strong interpersonal, oral and written communication and presentation skills. Ability to communicate complex findings and ideas in plain language. Written and verbal communication, preferably with technical writing skills. Being able to work in teams towards a shared goal;  Project and resource management skills:  Resilient project juggler Strong experience in user testing and project management  Specific Qualifications Required :  Experience on with visualization tools (tableau) Experience with data management tools (Ab initio) is required 5+ years of associated work experience in a relevant role Excellent interpersonal communication skills to explain complex technical topics in an easily digestible manner Advanced SQL database management is a plus. Understanding of file transfer solution (CFT, sfTP, MQ, kafka) Technical expertise regarding data models, database design development, data mining and segmentation techniques. Strong knowledge and experience with reporting packages/tools (tableau etc.), databases (SQL etc.), programming (Python, R, JavaScript or ETL frameworks). Knowledge of statistics or experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.). Adept at queries, report writing and presenting findings. Working knowledge in any analytical tools like Alteryx, Dataiku. Working knowledge of Hadoop, MapR and Machine Learning techniques are desired. "
3,Senior Building Services Engineer (Data Centre),PM ASIA PROJECT SERVICES PTE. LTD.,"$5,500to$8,000Monthly","Roles & ResponsibilitiesOverall Job Objectives:  Responsible for the design of HVAC systems and related utilities, including conceptual, front end and detailed design activities on a variety of data centre projects. Core Responsibilities:   Lead the Building Services design of large scale, high end industrial facilities
 Experience in designing HVAC, Fire Protection Sprinkler and Black Utilities Carry out site visits / site surveys Interact and communicate with own department, other departments, project team members, clients and other external parties to ensure co-ordination of activities Prepare technical documents in accordance with agreed schedules  
 Requirements Minimum Degree in Engineering or Science related discipline Minimum 6
years of building services design experience Good knowledge of designing HVAC, Sprinkler and Black Utilities Experience of working with a design house or engineering company Proficient in the use of relevant engineering software such as AutoCAD and Revit Strong work ethic and act with integrity Good organizational skills "
4,Datastage Consultant,INFINITE COMPUTER SOLUTIONS PTE LTD,"$3,000to$5,000Monthly","Roles & ResponsibilitiesJob Description Responsible for the analysis, data profiling, development, and integration of disparate systems throughout all phases of the project life cycle. Work as part of a team delivering high quality and efficient integration solutions. Assist in ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL related activities. Takes a logical, analytical approach to problem solving and pays close attention to detail  
 RequirementsKey Qualification: *Degree in Computer Science or Computer Engineering *4+ years experience in IBM DataStage or similar ETL tool *Experience with other components of ETL such as Information Analysis, data quality,data lineage and data governance *Knowledge/hands on experience with SQL, relational databases such as MSSQL, 
DB2 or Oracle, *IBM Infosphere Tool Suite.  EA License No. - 14C6941 
"
5,O&T - Data Analyst Lead - 18035524,CITIBANK N.A.,"$10,000to$17,500Monthly","Roles & Responsibilities You will interface with our business partners in decision management functions to mature use cases, identify solutions and help implement solutions iteratively using agile methodologies You will engage within the technology organization to integrate and embed analytic capabilities to enhance products and customer experience You will partner with
 architects and the Business Intelligence organization to assemble capabilities into platforms that can address a variety of analytical needs You will represent yourself as an expert, but equally rely on others to support you as a team
 Serve as mentor and coach to junior resources and other teams Apply deep analytical skills to explore complex datasets to aid in knowledge discovery and predictive modeling activities Assist our business data science teams in developing tools, metrics, and systems to analyze large-scale internal and external data to identify opportunities to improve product offering and marketing Maintain knowledge of emerging trends related to analytics, data management, statistical computing/machine learning, business intelligence, data visualization, etc Manage the development and execution of predictive analytics and machine learning models for a variety of applications, from predicting customer behavior to creating recommendation engines for the marketplace Design, coordinate, and implement analytical business and technology solutions to support business strategy Drive the day-to-day implementation of the analytical strategy Determine data needed to be collected and the appropriate data resources for specific projects  To apply online via the careers section of Citi E career website, please click via the link below: https://citi.taleo.net/careersection/2/jobdetail.ftl?lang-en&job=18035524 Requirements BA/BS degree required, advanced degree is preferred in Computer Science/Statistics or related field with 10+ years of data analytics experience Experience in quantifying and monetizing data platforms Ability to influence others to adopt new ways of thinking, change habits and improve processes Ability to translate complex technical topics into easy to understand concepts Experience developing processes to govern analytics development life cycle Demonstrated track record of success in delivering advanced analytics capabilities Direct experience in implementing data management processes, procedures, data quality management, and decision support Experience leveraging next generation tools and techniques such as Hadoop, Machine Learning, MapReduce, Spark, Python, R to build deployable analytical solutions Working knowledge of data mining, statistical analysis and machine learning concepts, with the ability to apply them to make better decisions, find hidden patterns, and predict outcomes Experience managing and working in an agile environment using agile tools and practices Experience building out and managing an organization's data capabilities, including staff, tools, and processes is a plus Strong written and verbal communication and presentation skills Experience working in a banking / financial services / fintech / retail environment is a plus "
6,Research & Development - Data Scientist - Hair Care - Singapore,PROCTER & GAMBLE INTERNATIONAL OPERATIONS SA SINGAPORE BRANCH,"$6,000to$10,000Monthly","Roles & ResponsibilitiesAt P&G we leverage advanced machine learning methods to solve R&D problems  ranging from developing smart products and personalizing consumer experiences generating consumer insights from complex data sources. The Data Scientist could effectively leverage various data sources, machine learning and deep learning algorithms and beyond, partnering with multiple functional teams to generate insight and actionable recommendation from data for R&D innovation. Key Responsibilities:  Work closely with Scientists and Engineers to translate business challenges into clear problem statements. Leverage existing or develop new algorithms to model the data and solve the technical problem. Partner with IT/data engineering to realize rich media (text/image/video) solutions at global scale. Communicate effectively with working team to turn data into insight, develop actionable recommendation and business solutions.  RequirementsWe are seeking leaders who has a PhD in Computer Science, Engineering, Mathematics, Statistics, Data Sciences or other related fields. Outstanding Masters degree graduates in related field are also welcome to apply. Key Requirements:  Proficient with R and Python including Pandas, NumPy and Scikit-learn etc. Extensive experience and in depth understanding with wide range of advanced machine learning methods Practical experience of Natiural Launguage Processing (NLP)
with Chinese is a plus Practical experience with Text mining
and large data sets is a plus  Behavioral Skills:   Demonstrated leadership in applying and scaling Analytic techniques to deliver actionable insights from data Strong written and verbal communication skills Demonstrated ability to handle multiple priorities Strong enthusiasm and curiosity about the intersection of business and technology  Interested candidates to apply directly at www.pgcareers.com to Job Number: RND00003649 or apply via link below: https://jobs.pgcareers.com/job/singapore/research-and-development-data-scientist-hair-care-singapore/936/6327782 
"
7,Data Scientist,COMTEL SOLUTIONS PTE LTD,"$7,000to$10,500Monthly","Roles & Responsibilities Define hypotheses and identify the analysis trail for given business problems. Help create new solution approaches for innovative analytics scenarios. Develop proofs of concept and validate results. Implement small and large-scale projects in Advanced Analytics to help derive business insights for measurable success. Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience building and optimizing 'big data' pipelines, data architectures and data sets. Knowledge of machine learning techniques and algorithms, such as K-NN, Naive Bayes, SVM, Decision Forests, etc. Expertise in design & development of API's, Web Services (REST, SOAP, etc ..) is needed Good to have exposure to data visualisation tools, such as D3.js, QlikView, Tableau etc. Exposure in configuring components (Celery, Redis..) on Linux platform  Requirements A Bachelors degree in Computer Science (or equivalent experience) 8  10 years of development and delivery experience Experience with big data tools: Hadoop, Spark. Experience with object-oriented function scripting languages: Python, C++ Experience with statistical computer languages (Python, SQL, R) to manipulate data and draw insights from large data sets. Experience with common data science toolkits, such as NumPy, Pandas. R, etc. "
8,DWH Consultant,ECNET LIMITED,"$6,000to$7,000Monthly","Roles & ResponsibilitiesDesign a BI Solution Manage full SDLC of BI solution
 Perform full product review and selection for multiple BI vendors Control cross department data access matrix Govern best practice of data warehouse and BI design RequirementsSSAS, SSIS, Microsoft SQL Server,
Tableau"
9,"Data Analyst, Group Customer Analytics & Decisioning",OVERSEA-CHINESE BANKING CORPORATION LIMITED,"$5,000to$9,000Monthly","Roles & Responsibilities
 What youll do Work with specific client groups in the Consumer Bank to understand their business challenges & identify areas where Customer analytics techniques could help them overcome these challenges and realise new opportunities Design and deploy data pipelines & solutions to increase productivity of the Consumer Banking business Support planning, development, execution and tracking of Data Driven Marketing activity across all channels Develop data-driven actionable customer insights to support marketing, sales and service communications. 
  Generate actionable customer insight to improve key business outcomes  
 Support the deployment of world-class marketing analytics capabilities and practices to improve marketing effectiveness and efficiency of the OCBC Consumer Financial Services division. This includes: 
  Development and execution of marketing campaigns & event triggers to support customer acquisition, cross & upselling and account activation goals within the Consumer Banking business. Conducting data discovery and other data exploration activities to identify emerging trends and business opportunities. Development and ongoing management of campaign reporting, analysis and derivation of key customer metrics. Design of management reporting & visualization using Qlikview. Provision of ongoing support to segment and product management in the profiling and segmentation of customers as well as conduct of tactical mining to support their business initiatives. Regular interaction with product and segment managers to understand their business objectives. Proactive recommendation on how you think analytics could help them achieve their goals.  
   Deploy solutions to increase productivity of Consumer Banking division  
 Design, build and deploy data driven solutions to increase productivity of the Consumer Banking Division including:  Design of processes to streamline marketing & promotional fulfillment activities Support for operational reporting & customer communications  RequirementsGeneral Knowledge & Experience: o










 Exposure to data management, programming and analysis functions o










 Understanding of the role of analytical marketers 
 Programming & Data: o










 Exposure to database, analytical marketing or campaign management functions. o










 Ability to analyse, identify, visualize and describe key trends within large datasets o










 Strong SQL coding and database knowledge o










 Some prior exposure to analytical software tools of leading analytical software tools (such as SAS / Python / Spark / R); leading database environments (Oracle / Teradata / Hadoop / SQL); reporting tools (Qlikview / Tableau) and/or contact management platforms (Siebel / Pega). 
 Communication & Soft Skills: o










 Curiosity & a real passion for understanding why? o










 Creativity to see possibilities within the data & translate into decisions and actions for non-technical business users. o










 Ability to visualise patterns arising out of data analysis and turn these into compelling stories."
