,job_title,company,employment_type,salary,job_description
0,Business Analyst,MYREPUBLIC LIMITED,Full Time,"$5,000to$7,500Monthly","Roles & Responsibilities COMPANY DESCRIPTION  Company Description MyRepublic is on the front lines of the biggest transformation the telecommunications industry has seen in decades - and were loving it. The Next Generation National Broadband Network (NBN) is a great opportunity for small businesses to shake things up and we couldnt be prouder to get involved. We are currently offering the worlds fastest fibre broadband at 1GBps and shaking the market both here in Singapore as well as Australia and New Zealand.   For more information, please visit http://www.myrepublic.com.sg  RESPONSIBILITIES  Job Summary We are looking for an experienced Business Analyst to join our growing Web team. In this role, you will take charge of a variety of web projects and play a key role liaising between stakeholders across MyRepublic business units and external technology partners. As a Business Analyst, not only will you be tasked with understanding our current and future business needs, you will be responsible for translating these requirements into digital solutions and ensuring that these solutions are implemented.  Responsibilities:   Manage multiple concurrent projects or a single large-scale, complex program through all phases, from the gathering of business requirements to project delivery. Work with various MyRepublic business unit stakeholders to understand and clarify business requirements and create detailed functional specifications / user stories. Analyse functional impact considering technical constraints and solution interdependencies by working with developers, IT staff and various technology partners. Support the development team in any functional aspects. Organise and ensure that the functional documentation is up to date. Develop testing strategy with development team, and conduct continuous testing in development environment. Conduct user acceptance testing and deliver end-user training.  RequirementsRequired Skills & Knowledge:  4+ years experience working as a Business Analyst, preferably in the IT or telecom industry. Ability to solve complex problems, develop solutions and communicate to senior stakeholders in a clear, actionable manner. Experience serving as a liaison between local business teams and offshore IT teams, and as the primary functional support for a development team. Technical knowledge of MySQL, PHP, HTML, UML, Business Object. Experience in functional testing and validation of development. Strong knowledge of SDLC framework and experience in all stages of the software development life cycle. Strong project management skills, with experience working in agile environments. Strong knowledge of Web Service and API technologies (REST, XML/JSON)       "
1,Business Analyst /  Business Manager,TANGSPAC CONSULTING PTE LTD,Permanent,"$7,000to$15,000Monthly","Roles & Responsibilities Review and understand key business policies and processes in Private Banking, with an emphasis on client interactions and front office productivity. Identify critical pain-points, and articulate how planned / in-flight technology projects will solve them (e.g., change paper forms to electronic workflows). Work with business stakeholders and teams to ensure that business, quality and functional goals are met with each release.
 Be responsible for the design, usability, quality and delivery of projects and features. Strong stakeholder management across functions and teams to deliver rollout out of initiatives and projects on time and with considered impact on the Front Office Proactively consider and implement process improvements, achieving significant gains in efficiencies and cost reductions  Requirements Solid demonstrable experience in working directly with Senior Management in a business management, change management (including technology) capacity within the Private Banking Front Office Proven track record of project-managing and delivering cross-functional projects on time with minimal impact on users Strong knowledge and understanding of Front Office controls, risk policies, procedures and requirements Strong organizational skills and ability to work as an integral part of a larger team, over multiple, concurrent projects, across a variety of topics "
2,Business Analyst,VIEWQWEST PRIVATE LIMITED,Full Time,"$3,000to$3,500Monthly","Roles & ResponsibilitiesThe Analyst works together with a Board Member to conduct economic and financial research against defined market trends and industry, and provides written recommendations and statistical exhibits to support the execution of transactions. Responsibilities:  Organise and analyse sophisticated financial data Perform valuation analysis and financial modelling Conduct economic/financial research to support the companys expansion plan Work across departments to assist in developing business proposal to clients Prepare marketing materials for company positioning and financial alternatives
 Develop knowledge of relevant regulatory changes and economic trends Support in company due diligence investigations  Requirements Bachelors Degree in Business, Economics, Mathematics, Statistics, Data Science or equivalent.
 1-2 years experience in applying data science in the commercial context; or for fresh grads the candidate is to have a strong academic track record with coursework completed in the areas of Economics, Accounting, and Finance Proven research skills and with ability to succinctly express ideas Highly motivated individual with interest in corporate finance, investment banking, accounting, and financial markets Strong team player and able to perform well in a fast-paced environment "
3,Business Analyst,NITYO INFOTECH SERVICES PTE. LTD.,Full Time,"$5,500to$7,500Monthly","Roles & Responsibilities







 Minimum diploma/degree holder in accounting, banking, finance or IT.  







 Minimum 6 years working experience in finance and/or business analyst in banking industry.  







 Good experience in all phases of the software development life cycle.  







 Good experience in managing small to medium-sized projects (iterative or agile).  







 Proficiency in working with SQL database queries.  







 Strong analysis, problem solving skills  







 Strong perseverance and diligence towards attaining goals with effective time management.  







 Excellent communication and interpersonal skills  







 Self-motivated and excellent team player.  







 Strong experience in working with Microsoft Office tools.  Requirements Propose solutions for the new requirements  Manage estimation and planning for the daily work  Manage communications with users and sponsors  Write functional specifications for enhancements  Prepare functional test cases and manage BAs tests to validate the development of the solution  Liaise with IT business lines for clarification and understanding of requirements. 
  Manage functional risks and escalate with defined actions.  Keep up-to date the existing documentation (presentation of the tool, use guide)  Communicate with deployment team for delivery via the release note and support team for support  Provide and monitor 3rd Level application support under the team scope  Organize Problem solving sessions to understand why we had issues in production  Be pro-active to propose improvement on current application"
4,Technical Leader,Company Undisclosed,Permanent,"$8,000to$12,000Monthly","Roles & ResponsibilitiesThe Development Technical Lead provides software development leadership and management of the development effort within core banking and back-office focused technology projects as part of the banks wider program of transformation initiatives. The position entails designing and driving the implementation of development best practices, while playing a crucial role in spearheading technical analysis, design, development and system integration testing around our application (e.g. T24, ODP etc) as well as related sub-systems covering trade processing, trade documentation, settlement and accounting. Roles and Responsibilities:  Responsible for the development planning and delivery of system integration and technology development book of work for Core Banking / Back Office / Business Process Management applications. Work with project manager, Business Analyst and test managers to ensure efficiency of system integration test cycles and propose improvements required if defects are found. In addition to unit testing code, this includes supporting all testing cycles (System Integration Testing, User Acceptance Testing) ensuring all deliverables are aligned with technology development governance. Work with Technology Infrastructure and Technology Application teams to ensure through adequate system design and testing that Technology operations risks can be minimized and that application data is appropriately structured, controlled and utilized within the business. Provide technical support and expertise advice throughout all technical stages of projects, Change Request and third level support. Identify, define and coordinate development activities within a project or Change request, such as additional specific functionality, interfacing to external systems or conversion programs to be built. Provide guidance, training and advice to less experienced team members.  Requirements Degree in an IT related discipline Financial technology background experience (Wealth Management, Investment Management, Asset Management, Investment Banking preferred) with strong development experience including past software development role as well as previous experience in the integration of vendor solutions 8
years hands-on experience in a T24 production support and / or environment as a technical consultant or lead role. Solid experience in T24 design and development. In-depth knowledge of customization of T24 environments. Thorough understanding of T24 application and all system administration tasks involved in maintaining a T24 environment. This should include knowledge of OFS batch routines and jBase administration, some technical exposure to TCS/TCC Connectors, TOCF, OFS and OFXML messages, data extraction, integration, T24 Tables, upgrading and installing new releases and patch installations. Ability to introduce inexperienced Temenos developers to customization and guide them in daily development. Excellent oral and written communication in English "
5,MAS Business Analyst,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Contract,"$5,000to$8,000Monthly","Roles & ResponsibilitiesOptimum Solutions (Company Registration Number: 199700895N), is a full spectrum Software Solutions and Services Company. Software services from Optimum are designed to deliver Enterprise Client-Server/ Multi-tier and Web based solutions across the entire value chain, spanning on-site consulting services to turnkey software projects. We started our operations in March 1997. Role: MAS 610 Business Analyst RequirementsKey Requirements Total 5+ years experience required Primary Skills : Business Analyst with
MAS experience (3+ years into Business Analyst) Secondary Skills: MAS610 and HKAM Domain: Banking (preferred)."
6,Business Analyst,HP PPS ASIA PACIFIC PTE. LTD.,"Permanent, Full Time","$8,400to$12,900Monthly","Roles & ResponsibilitiesHP is the worlds leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives. We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.  At HP, the future is yours to create! If you are our Business Analyst in Singapore, you will have a chance to   Provide Analysis to support business/team's needs by ensuring data integrity & accuracy Be the interface to Sales Operations Be the interface to External Analyst: Canalys & IDC. Establish & enable quarterly published reports Drive regular & scheduled review of analysis with team & cross team members Update Market share quarterly & provide Insights (Small and Medium Business = SMB segment with PC & Print) Support team during budgeting process Key Analytics includes: Volume / Value /Small and Medium Business Channel Capacity & Polarity Insights, Quarterly (PC/Print/Growth Initiatives/Small and Medium Business) Power BI Partner performance/Business insights Business/IT trends and market insights Competitive channel analysis & insights (Small and Medium Business & channel indirect) Retention/Acquisition/Development (RAD) profiling & analysis Sales attainment/productivity analysis Partner program performance reporting and analysis Quarterly Asia Pacific Headquarter Commercial Channel Team's Spent Reports/Analysis. Ensure spent to budget  RequirementsEducation and Experience Required:   Prior experience in either finance or sales operation with category experience a strong plus Must possess strong analytical skills, with keen eye for details Possess business flair, with good understanding of IT PC & Print & concepts of sell-in, sell- through & sell-out; channel landscape, etc Must have strong excel, pivot skills and excellence in dealing with numbers (for data accuracy & integrity) Strong organizational skills Strong collaborative skills with cross team members Multinational company experience a plus  
 HP is a Human Capital Partner  we commit to human capital development and adopting progressive workplace practices in Singapore.
"
7,Business Intelligence  AI  /  Big Data Strategy Partners - Vice President,CHRIS CONSULTING PTE. LTD.,Full Time,"$12,000to$13,000Monthly","Roles & Responsibilities Partnering with Senior Management/ Stakeholders from Business Group to provide deep expertise and advisory on data and analytics needs. Discover intrinsic natures of users from big data, and analyze user behavior as well as their customized needs to develop new data attributes of users from existing data source and develop novel applications including data driven products based on that.

 Development, planning and implementation of Data strategies across the bank. Planning new initiatives based on data analysis and insight  allow the data to lead creative and steer programmes to constantly be optimised to exceed targets and KPIs. Business Lead on the Data Transformation Program to ensure business objectives and deliverable are aligned to business priorities on the Data Transformation Program to ensure end-to-end data coverage and identify potential cross segment impact and/or potential capability reusable from another segment. Drive and lead new capabilities in the area of Big Data, Strategic Analytics and Advanced Self Service Business Intelligence across the Banking group. Develop data models/solutions to solve practical problems based on advanced statistical modeling, data mining, and machine learning methods.  Requirements Degree with at least 10 yrs. experience with MIS, Data Management, Analytics, etc. Retail Banking, Marketing and Product data and analytical knowledge highly desirable. Track record and In-depth knowledge of Business Intelligence and Big Data platforms. "
8,Senior Business Analyst (HRIS /  HCM),NTT DATA SINGAPORE PTE. LTD.,Contract,"$5,000to$8,000Monthly","Roles & Responsibilities Key in driving and supporting migration of data from the legacy on-premise Human Resource system application to the future Cloud hosted Human Capital Management (HCM) system. Work with data owners to understand legacy data, gather data requirements, and interpret and design solutions to meet those requirements. Reviewing gaps and proposing a solution for data migration during the solution design phase. Produce detailed data mapping documents. Assess and recommend tools, scripts, queries or applications for accessing, analysing, converting and migrating data between databases or from csv files to databases Reverse engineer data models. Owning the quality of the migrated data including archive data, troubleshoot data quality issues and work towards data cleansing. Identifying the data migration impact of all proposed changes. Maintain the security, data integrity, and availability of data in UAT and production environments. Partner with the HRIS to proactively manage stakeholders expectations, communicate timelines, and solve database issues promptly. Serve as the data migration point of contact during the migration process. Reviewing the existing Data Migration Strategy, recommend modifications (if required) and deliver an updated Data Migration Strategy document incorporating agreed upon changes.
 Develop a Data Migration Test Plan to support validation of extracted/transformed data by stakeholders and manage the plan prior to delivery of data for any mock migration or cutover activity.
 Provide data migration support for tasks leading up to, and following, transition to the designated HCM solution.
 Analysing the method of transforming existing data into a format for the new environment and the loading of this data into other database structures.  Requirements Degree (and above) in Information Technology or Computer Science. At least 10 years experience implementing/supporting Oracle PeopleSoft HCM, ETL and/or ELM (version 9.1 & above) preferable. At least 10 years experience migrating/converting data from legacy applications to a new target application environment including to source and downstream systems. Deep experience in conversion requirements gathering, data mapping, data cleansing, data source gap analysis, conversion specifications documentation, designing conversion components, developing conversion standards, development and execution of SQL-based scripts, functions, and/or packages to support data analysis, developing end-to-end conversion test plans, executing conversion test cases, documenting conversion results, tracking and resolving conversion defects, etc.
 Experience with Core development skills that include PL/SQL, SQL, SQL*Loader, Oracle Application framework, People soft SQL developer. Able to take on tasks with little direction, and produce high-value deliverables in a fast-paced environment. Meticulous, Self-starter and independent worker yet a team player. Have excellent communication, attention to detail, analytical, resourceful and great problem-solving skills. Possesses and displays excellent verbal, written communication, presentation, interpersonal skills and ability to influence stakeholders and partners across vendors and teams. Able to converse in mandarin preferable (to support China and Taiwan). "
9,Master Data Analyst,APPLE SOUTH ASIA PTE. LTD.,Full Time,"$6,000to$10,000Monthly","Roles & ResponsibilitiesJob Summary Team up with Apple, one of the most influential technology leaders in the industry. Join the Apple Finance organization and make a positive impact on a company that is known for its impressive lineup of products, including Mac, iPod, iPhone and iPad. At Apple, youll share in a commitment to excellence by partnering with world-class professionals, all with one unified vision  creating innovative products that delight customers. We do this by hiring quality individuals with integrity, personal accountability, teamwork, excellence, and dedicated thinking. If you exemplify our values and want to be part of something big, contact us today. Apples Global Business Solutions (GBS) is a centrally managed organization that supports Apples four shared service centers around the world, including Austin, TX, Cork, Ireland, Shanghai, China and Singapore. GBS is responsible for vendor and customer master data management, finance helpline support and technical production support for SAP and other finance systems. This position may be located in either Shanghai or Singapore and is responsible for Japan vendor and customer master data management. Description - Creation, maintenance and management of customer and vendor master data in SAP and peripheral systems - Communication with external vendors in Japanese is required - Ensure compliance with SOX controls, finance policies and documented procedures Support documentation and enforcement of data governance policies, standards and processes - Handle urgent work deadlines and high profile deliverables in an efficient manner - Communicate and co-ordinate effectively with subject matter expert and the business teams on processes, projects and change management - Find opportunities for process improvement and automation to drive scale and efficiency, while maintaining a strong control environment - Participate in SAP projects and user acceptance testing when master data participation is required - Provide problem resolution and business-case diagnostics on complex system and data issues - Audit and update database to ensure that master data is consistent, free of duplicates, accurate, up-to-date and correctly classified - Build data quality metrics and reporting to validate and carry out operating and key control activities RequirementsKey Qualifications  You will have a strong knowledge of master data functions You are self-motivated and natural curiosity to learn
 Possess excellent written and verbal social skills
 Strong business partnering skills and ability to establish relationships with multi-functional and global partners You have strong analytical, problem-solving and negotiating skills
 Ability to handle various tasks simultaneously, while working independently in a fast paced, ambiguous environment Validated ability to perform under tight deadlines with flexibility with working hours to support global issues required  Education Bachelor degree in a technical or business discipline Experience with customer and vendor master data preferred"
